"","Site","Sample_type","Species","Hybrid","Elevation_cat","Elevation_m","Longitude","Latitude","Sample","Dup_ID","Unique_ID","LT","ACI","LPS","LMA","ImageJ_1","ImageJ_2","LBI","logLBI","logACI","logLT","logLPS","logLMA"
"1","TRTB","sample","L","","MEDIUM",1572,-119.710152,37.700419,1,"","TRTB_L001",410,12.2,0.29,0.7,4905717,4908648,0.000597109,-3.22394638281105,1.08635983067475,2.61278385671974,-0.537602002101044,-0.154901959985743
"2","TRTB","sample","L","","MEDIUM",1572,-119.710152,37.700419,1,"","TRTB_L001",620,12.2,0.46,0.4,4905717,4908648,0.000597109,-3.22394638281105,1.08635983067475,2.79239168949825,-0.337242168318426,-0.397940008672038
"3","TRTB","sample","L","","MEDIUM",1572,-119.710152,37.700419,1,"","TRTB_L001",705,12.2,0.33,0.6,4905717,4908648,0.000597109,-3.22394638281105,1.08635983067475,2.8481891169914,-0.481486060122112,-0.221848749616356
"4","FVWB","sample","G","","MEDIUM",1757,-119.702719,37.698587,1,"","FVWB_G001",320,6.1,0.32,0.5,293186,308689,0.050222068,-1.29910540825995,0.785329835010767,2.50514997831991,-0.494850021680094,-0.301029995663981
"5","FVWB","sample","G","","MEDIUM",1757,-119.702719,37.698587,1,"","FVWB_G001",315,6.1,0.33,0.5,293186,308689,0.050222068,-1.29910540825995,0.785329835010767,2.4983105537896,-0.481486060122112,-0.301029995663981
"6","FVWB","sample","G","","MEDIUM",1757,-119.702719,37.698587,1,"","FVWB_G001",342,6.1,0.3,0.8,293186,308689,0.050222068,-1.29910540825995,0.785329835010767,2.53402610605613,-0.522878745280338,-0.0969100130080564
"7","FVWB","sample","G","","MEDIUM",1757,-119.702719,37.698587,2,"","FVWB_G002",NA,NA,NA,NA,131604,145131,0.093205449,-1.03055869707246,NA,NA,NA,NA
"8","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,1,"","BMLZ_G001",410,5,0.63,0.3,483020,586252,0.176088099,-0.754269995045127,0.698970004336019,2.61278385671974,-0.200659450546418,-0.522878745280338
"9","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,1,"","BMLZ_G001",300,4,0.4,0.3,483020,586252,0.176088099,-0.754269995045127,0.602059991327962,2.47712125471966,-0.397940008672038,-0.522878745280338
"10","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,1,"","BMLZ_G001",355,4.8,0.62,0.4,483020,586252,0.176088099,-0.754269995045127,0.681241237375587,2.55022835305509,-0.207608310501746,-0.397940008672038
"11","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,2,"","BMLZ_G002",420,3.9,0.58,0.7,933840,1020695,0.08509398,-1.07010116312645,0.591064607026499,2.6232492903979,-0.236572006437063,-0.154901959985743
"12","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,2,"","BMLZ_G002",330,4.4,0.27,1.1,933840,1020695,0.08509398,-1.07010116312645,0.643452676486187,2.51851393987789,-0.568636235841013,0.0413926851582251
"13","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,2,"","BMLZ_G002",290,6.6,0.59,0.5,933840,1020695,0.08509398,-1.07010116312645,0.819543935541869,2.46239799789896,-0.229147988357856,-0.301029995663981
"14","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,3,"","BMLZ_G003",340,5.1,0.72,0.7,356347,381527,0.06599795,-1.18046955411745,0.707570176097936,2.53147891704225,-0.142667503568732,-0.154901959985743
"15","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,3,"","BMLZ_G003",380,5.3,0.46,0.7,356347,381527,0.06599795,-1.18046955411745,0.724275869600789,2.57978359661681,-0.337242168318426,-0.154901959985743
"16","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,3,"","BMLZ_G003",270,5.3,0.58,0.5,356347,381527,0.06599795,-1.18046955411745,0.724275869600789,2.43136376415899,-0.236572006437063,-0.301029995663981
"17","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,4,"","BMLZ_G004",355,4.6,0.32,0.7,1498054,1629691,0.080774208,-1.09272729159464,0.662757831681574,2.55022835305509,-0.494850021680094,-0.154901959985743
"18","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,4,"","BMLZ_G004",340,4.4,0.48,0.5,1498054,1629691,0.080774208,-1.09272729159464,0.643452676486187,2.53147891704225,-0.318758762624413,-0.301029995663981
"19","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,4,"","BMLZ_G004",405,4.3,0.37,0.7,1498054,1629691,0.080774208,-1.09272729159464,0.633468455579587,2.60745502321467,-0.431798275933005,-0.154901959985743
"20","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,5,"","BMLZ_G005",460,4,0.62,0.8,456220,506858,0.099905694,-1.00040975899815,0.602059991327962,2.66275783168157,-0.207608310501746,-0.0969100130080564
"21","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,5,"","BMLZ_G005",340,4.2,0.74,1,456220,506858,0.099905694,-1.00040975899815,0.6232492903979,2.53147891704225,-0.130768280269024,0
"22","BMLZ","sample","G","","MEDIUM",1730,-119.314015,37.090625,5,"","BMLZ_G005",520,4.5,0.63,0.9,456220,506858,0.099905694,-1.00040975899815,0.653212513775344,2.7160033436348,-0.200659450546418,-0.0457574905606751
"23","SHLZ","sample","G","","MEDIUM",1595,-119.307426,37.145131,1,"","SHLZ_G001",264,4.2,0.63,1.1,582646,621722,0.062851242,-1.20168613582342,0.6232492903979,2.42160392686983,-0.200659450546418,0.0413926851582251
"24","SHLZ","sample","G","","MEDIUM",1595,-119.307426,37.145131,1,"","SHLZ_G001",265,4.3,0.52,1.1,582646,621722,0.062851242,-1.20168613582342,0.633468455579587,2.42324587393681,-0.283996656365201,0.0413926851582251
"25","SHLZ","sample","G","","MEDIUM",1595,-119.307426,37.145131,1,"","SHLZ_G001",355,3.8,0.44,1.1,582646,621722,0.062851242,-1.20168613582342,0.57978359661681,2.55022835305509,-0.356547323513813,0.0413926851582251
"26","SHLZ","sample","G","","MEDIUM",1595,-119.307426,37.145131,2,"","SHLZ_G002",520,5.6,0.51,0.5,1298732,1407504,0.077280065,-1.1119325213088,0.7481880270062,2.7160033436348,-0.292429823902064,-0.301029995663981
"27","SHLZ","sample","G","","MEDIUM",1595,-119.307426,37.145131,2,"","SHLZ_G002",530,4.4,0.54,0.4,1298732,1407504,0.077280065,-1.1119325213088,0.643452676486187,2.72427586960079,-0.267606240177031,-0.397940008672038
"28","SHLZ","sample","G","","MEDIUM",1595,-119.307426,37.145131,2,"","SHLZ_G002",430,4.4,0.55,0.3,1298732,1407504,0.077280065,-1.1119325213088,0.643452676486187,2.63346845557959,-0.259637310505756,-0.522878745280338
"29","SHLZ","sample","G","","MEDIUM",1595,-119.307426,37.145131,3,"","SHLZ_G003",240,3,0.38,0.5,1703397,1808854,0.058300449,-1.23432810051592,0.477121254719662,2.38021124171161,-0.42021640338319,-0.301029995663981
"30","SHLZ","sample","G","","MEDIUM",1595,-119.307426,37.145131,3,"","SHLZ_G003",335,3,0.34,0.5,1703397,1808854,0.058300449,-1.23432810051592,0.477121254719662,2.52504480703685,-0.468521082957745,-0.301029995663981
"31","SHLZ","sample","G","","MEDIUM",1595,-119.307426,37.145131,3,"","SHLZ_G003",400,3.4,0.38,0.7,1703397,1808854,0.058300449,-1.23432810051592,0.531478917042255,2.60205999132796,-0.42021640338319,-0.154901959985743
"32","SHLZ","sample","G","","MEDIUM",1595,-119.307426,37.145131,4,"","SHLZ_G004",324,3.6,0.38,0.6,682923,720876,0.052648444,-1.27861445965798,0.556302500767287,2.51054501020661,-0.42021640338319,-0.221848749616356
"33","SHLZ","sample","G","","MEDIUM",1595,-119.307426,37.145131,4,"","SHLZ_G004",395,4.1,0.38,0.6,682923,720876,0.052648444,-1.27861445965798,0.612783856719735,2.59659709562646,-0.42021640338319,-0.221848749616356
"34","SHLZ","sample","G","","MEDIUM",1595,-119.307426,37.145131,4,"","SHLZ_G004",510,4,0.39,0.8,682923,720876,0.052648444,-1.27861445965798,0.602059991327962,2.70757017609794,-0.408935392973501,-0.0969100130080564
"35","SHLZ","sample","G","Y","MEDIUM",1595,-119.307426,37.145131,5,"","SHLZ_G005",510,4.6,0.43,0.6,829159,1023402,0.189801271,-0.721700883655627,0.662757831681574,2.70757017609794,-0.366531544420413,-0.221848749616356
"36","SHLZ","sample","G","Y","MEDIUM",1595,-119.307426,37.145131,5,"","SHLZ_G005",430,4.6,0.46,0.5,829159,1023402,0.189801271,-0.721700883655627,0.662757831681574,2.63346845557959,-0.337242168318426,-0.301029995663981
"37","SHLZ","sample","G","Y","MEDIUM",1595,-119.307426,37.145131,5,"","SHLZ_G005",505,4.7,0.55,0.8,829159,1023402,0.189801271,-0.721700883655627,0.672097857935718,2.70329137811866,-0.259637310505756,-0.0969100130080564
"38","SHLZ","sample","L","","MEDIUM",1595,-119.307426,37.145131,1,"","SHLZ_L001",415,3.1,0.41,0.4,135431,181589,0.254189406,-0.594842553749034,0.491361693834273,2.61804809671209,-0.387216143280265,-0.397940008672038
"39","SHLZ","sample","L","","MEDIUM",1595,-119.307426,37.145131,1,"","SHLZ_L001",415,2.4,0.34,NA,135431,181589,0.254189406,-0.594842553749034,0.380211241711606,2.61804809671209,-0.468521082957745,NA
"40","SHLZ","sample","L","","MEDIUM",1595,-119.307426,37.145131,1,"","SHLZ_L001",520,1.9,0.42,NA,135431,181589,0.254189406,-0.594842553749034,0.278753600952829,2.7160033436348,-0.3767507096021,NA
"41","SHLZ","sample","L","","MEDIUM",1595,-119.307426,37.145131,2,"","SHLZ_L002",440,4.1,0.34,0.8,1475924,4291857,0.65611063,-0.183022925948012,0.612783856719735,2.64345267648619,-0.468521082957745,-0.0969100130080564
"42","SHLZ","sample","L","","MEDIUM",1595,-119.307426,37.145131,2,"","SHLZ_L002",348,5.5,0.32,0.6,1475924,4291857,0.65611063,-0.183022925948012,0.740362689494244,2.54157924394658,-0.494850021680094,-0.221848749616356
