"","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","AGFB_L005","AGFB_L010","AGFB_N003","BHEB_G002","BHEB_G003","BHEB_G007","BHEB_G008","BHEB_G009","BHEB_N004","BHEB_N005","BHEB_N006","BHEB_N208","CCNB_G004","CCRB_N001","CCRB_N002","CCRB_N003","CCRB_N006","CCRB_N007","HDRB_G001","HDRB_G002","HDRB_G005","HDRB_G006","HDRB_G010","HHBB_G002","HHBB_G010","HHBB_L008","HHBB_L010","HUOB_G012","HUOB_G022","HUOB_G062","HUOB_G092","HUOB_G112","KNOB_L009","KNOB_L010","NFWB_L006","NFWB_L010","NFWB_N002","NFWB_N006","NFWB_N008","NFWB_N010","OPNZ_L103","OPNZ_L104","OPNZ_L105","OSKB_L001","SDSB_G002","SDSB_G003","SDSB_G005","SDSB_G008","SPLB_L001","SPLB_L002","SPLB_L003","SPLB_L005","SPLB_L006","SPLB_L007","SPLB_L009","TRTZ_L001","TRTZ_L003","TRTZ_L004","TRTZ_L005","TRTZ_L006","TWGB_G002","TWGB_G006","TWGB_G009","WCFB_G004","WCFB_G006","WCFB_G008","WCFB_G009","WCFB_L007","WCFB_L009","WSHB_G002","WSHB_G003","WSHB_G004","WSHB_G005","WSHB_G007","WSHB_G008","WSHB_G010","WSHB_G205","AGFB_L001","AGFB_L002","AGFB_L004","AGFB_L006","AGFB_L007","AGFB_L011","AGFB_N004","AGFB_N005","AGFB_N007","AGFB_N008","AGFB_N009","BHEB_G001","BHEB_G005","BHEB_N001","BHEB_N007","BHEB_N008","CCRB_N004","CCRB_N005","CCRB_N008","CCRB_N009","CFZZ_G004","CFZZ_G008","HDRB_G003","HDRB_G008","HHBB_G001","HHBB_G004","HHBB_G005","HHBB_G009","HHBB_L002","HHBB_L003","HHBB_L009","HULB_L002","HUOB_G082","HUOB_N001","HUOB_N003","HUOB_N005","KNOB_L001","KNOB_L002","KNOB_L003","KNOB_L004","KNOB_L008","LMZZ_G002","LMZZ_G004","LMZZ_G006","LMZZ_G008","NFWB_L004","NFWB_N007","OPNZ_L010","OPNZ_L101","OPNZ_L107","OSKB_L002","OSKB_L004","OSKB_L005","OSKB_L007","SDSB_B001","SDSB_B002","SDSB_B005","SDSB_G004","TRTZ_L002","TRTZ_L010","TWGB_G004","TWGB_G007","TWGB_G008","WCFB_G003","WCFB_G005","WCFB_G007","WCFB_G010","WCFB_G011","WCFB_L004","WCFB_L006","WCFB_L010","WCFB_L011","WSHB_G001","WSHB_G006","WSHB_G009","YCNB_L001","YCNB_L002","YCNB_L004","YCNB_L005","YCNB_L007","YCNB_L008","YCNB_L009","YCNB_L010"
"1","ASV_1","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae",396,50605,1705,544,13576,9,1,8961,3,2,215162,95,374,2803,0,4,1,0,55,15,55622,74218,40942,34,6927,0,34246,3702,4428,4272,18687,34799,12,0,19,7,13,991,4303,68,1,124468,2258,55,0,24686,13052,4,1,36,86531,8,29,17,19,78197,15046,93194,3519,42666,1144,0,241,22901,4202,7719,28472,12,201515,93,131,17922,44422,12,6,0,61694,3462,38,3688,130,6,664,3292,28842,246,572,21034,18700,4492,16,2,9922,0,676,0,96,10338,18468,6,11128,148492,666,40,1088,410,1980,510,15016,0,670,692,6910,14612,87286,94,18,84402,118,72,6050,7740,2,12,22,10,1406,15096,29852,7954,3150,43234,30998,2790,41134,75954,17506,246,17928,1672,18968,424,868,3352,3952,20,30,94670,62,1962,254,1126,16058,41272,31858,7220,16,3846,53226,16882
"2","ASV_2","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum",0,298,153,132,19781,9,8,337,6,0,0,13,11,6424,0,6,0,0,10,0,4291,0,2114,0,216,0,286,161,0,0,3689,619,0,0,4,4,11,884,675,15,0,543,32160,0,0,892,6471,0,0,0,928,0,12,0,5,1540,177,2503,282,1250,0,0,505,5773,559,651,437,0,8386,25,4,10731,7331,0,4,0,0,109,10,3163,140,13,1018,18,152,281,38,96,1670,2033,8,0,835,1,218,0,75,0,8401,0,312,26870,59,20,0,263,428,179,798,0,0,0,359,7264,8229,1765,0,49695,8,14,4236,420,7,76,2,0,1515,51,282,421,139,4669,1100,1562,3899,2382,737,123,2982,1036,0,223,68,334,70,6,8,24967,0,1226,76,7848,0,146,232,483,0,193,0,91
"3","ASV_3","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica",0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,1253,125,720,0,0,0,472,559,0,0,861,3221,0,2,0,0,0,0,0,0,0,636,0,0,0,4965,12394,0,0,6,0,0,0,0,0,76,17,996,62,0,34,2,218,194,683,112,264,0,4735,24,5,80,308,0,0,0,194,0,0,0,4,2,0,0,0,0,0,0,114,136,0,0,0,0,0,4,0,34,747,6,576,0,0,0,0,102,0,0,116,0,266,34,172,3093,21382,838,0,1401,26,3,74,51,0,0,0,0,687,116,9746,20142,483,922,817,175,4865,9165,0,35,1021,2238,0,0,0,91,0,5,2,15734,0,3278,61,189,23633,713,125,11530,0,18217,6812,12844
"4","ASV_4","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae",0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15822,2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23220,249,64,0,0,0,0,0,0,0,0,0,74,2792,32,0,2772,0,0,0,0,0,0,0,0,203,8751,87189,18693,1464,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7829,287,677,878,0,589,546,0
"5","ASV_5","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii",0,194,0,216,4900,0,0,13933,0,0,3497,0,0,11887,0,3,0,0,0,0,1312,0,603,6,850,0,159,962,0,0,20598,4364,0,0,0,0,2,0,0,0,0,0,0,0,0,237,257,0,0,0,0,0,0,0,0,814,718,2278,88,0,7,0,206,284,845,3646,742,0,39483,9,12,0,565,0,0,0,396,0,0,0,11,0,0,31,48,0,0,169,8607,6874,0,0,2076,0,665,0,486,0,0,0,44,0,0,0,0,0,126,47,69,0,54,0,32,47,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,435,1429,179,992,1368,0,50,760,70,31,43,48,328,48,4,0,15981,0,2358,203,125,4943,55,0,0,0,0,0,16
"6","ASV_6","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__heimaeyensis",0,71,424,0,2580,2,0,0,0,0,652,0,0,0,0,0,0,0,0,0,97,4970,21909,2,0,0,0,368,860,50,41928,8578,8,0,0,0,0,0,0,23,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,14,0,117,0,0,3,1276,0,4,0,4,0,0,490,1918,62,1422,9904,340,0,0,0,0,0,0,0,0,0,0,0,36914,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,8,328,62,0,0,12,0,0,62,0,0,0,0,0,126,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,170,0,0,0,0,12,0,0,0
"7","ASV_7","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA,12,2571,2779,119,159,5,0,0,0,0,0,13,39,30082,4,0,6,5,0,0,4159,0,2516,9,1349,0,0,194,0,0,4299,484,0,0,0,0,0,0,737,19,3,605,2439,4,0,0,0,0,0,0,45,0,0,0,0,1523,0,165,298,0,4,0,0,7911,0,79,79,0,132,0,6,9419,67,0,0,0,0,977,6,1664,148,0,721,11098,3634,1281,537,271,0,208,0,5,110,0,211,0,760,0,126,4,3340,14591,7118,1036,190,0,0,0,0,0,3,9,121,737,123,889,7,0,0,8,0,0,0,9,5,0,84,16,45,0,0,0,0,0,0,255,134,0,0,0,0,20,92,16,13,0,9,2316,0,125,0,570,20,516,0,42,0,0,0,0
"8","ASV_8","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__tenuissima",0,1249,0,9,4798,0,0,2226,0,0,560,0,0,6146,0,4,0,0,0,0,2450,61,8447,0,0,0,158,40,0,2514,76,7165,0,0,7,0,0,0,858,0,0,406,2269,0,0,0,50,0,0,0,112,0,0,0,0,963,103,550,94,46,19,0,0,1500,110,0,334,0,0,177,11,0,65,0,0,0,83,0,3,0,89,0,63,0,0,0,92,0,1,118,0,0,500,0,1569,0,369,0,0,0,157,2653,82,62,45,12,0,81,0,0,0,0,0,381,458,0,0,347,0,0,0,56,0,0,0,0,59,0,0,0,0,41,0,11947,437,10088,0,33,62,19,17,3349,46,16,20,0,0,2203,5,364,0,454,0,62,3469,0,0,128,0,152
"9","ASV_10","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Ascochyta",NA,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,7,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75513,242,25,124,0,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,1,1205,583,515,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
"10","ASV_9","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella",NA,0,0,0,0,0,0,4,0,0,0,0,0,0,287,0,0,0,0,0,0,200,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27394,1266,223,11256,0,2627,0,0,0,1926,0,0,0,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,164,0,0,0,0,0,0,0,0,0,39,0,0,158,80,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2669,95,76,3458,0,0,24016,0,0,370,0,0,0,0,0,7,0,0,0
