"","X","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","AGFB_L005","AGFB_L010","AGFB_N003","BHEB_G002","BHEB_G003","BHEB_G007","BHEB_G008","BHEB_G009","BHEB_N004","BHEB_N005","BHEB_N006","BHEB_N208","CCNB_G004","CCRB_N001","CCRB_N002","CCRB_N003","CCRB_N006","CCRB_N007","HDRB_G001","HDRB_G002","HDRB_G005","HDRB_G006","HDRB_G010","HHBB_G002","HHBB_G010","HHBB_L008","HHBB_L010","HUOB_G012","HUOB_G022","HUOB_G062","HUOB_G092","HUOB_G112","KNOB_L009","KNOB_L010","NFWB_L006","NFWB_L010","NFWB_N002","NFWB_N006","NFWB_N008","NFWB_N010","OPNZ_L103","OPNZ_L104","OPNZ_L105","OSKB_L001","SDSB_G002","SDSB_G003","SDSB_G005","SDSB_G008","SPLB_L001","SPLB_L002","SPLB_L003","SPLB_L005","SPLB_L006","SPLB_L007","SPLB_L009","TRTZ_L001","TRTZ_L003","TRTZ_L004","TRTZ_L005","TRTZ_L006","TWGB_G002","TWGB_G006","TWGB_G009","WCFB_G004","WCFB_G006","WCFB_G008","WCFB_G009","WCFB_L007","WCFB_L009","WSHB_G002","WSHB_G003","WSHB_G004","WSHB_G005","WSHB_G007","WSHB_G008","WSHB_G010","WSHB_G205","AGFB_L001","AGFB_L002","AGFB_L004","AGFB_L006","AGFB_L007","AGFB_L011","AGFB_N004","AGFB_N005","AGFB_N007","AGFB_N008","AGFB_N009","BHEB_G001","BHEB_G005","BHEB_N001","BHEB_N007","BHEB_N008","CCRB_N004","CCRB_N005","CCRB_N008","CCRB_N009","CFZZ_G004","CFZZ_G008","HDRB_G003","HDRB_G008","HHBB_G001","HHBB_G004","HHBB_G005","HHBB_G009","HHBB_L002","HHBB_L003","HHBB_L009","HULB_L002","HUOB_G082","HUOB_N001","HUOB_N003","HUOB_N005","KNOB_L001","KNOB_L002","KNOB_L003","KNOB_L004","KNOB_L008","LMZZ_G002","LMZZ_G004","LMZZ_G006","LMZZ_G008","NFWB_L004","NFWB_N007","OPNZ_L010","OPNZ_L101","OPNZ_L107","OSKB_L002","OSKB_L004","OSKB_L005","OSKB_L007","SDSB_B001","SDSB_B002","SDSB_B005","SDSB_G004","TRTZ_L002","TRTZ_L010","TWGB_G004","TWGB_G007","TWGB_G008","WCFB_G003","WCFB_G005","WCFB_G007","WCFB_G010","WCFB_G011","WCFB_L004","WCFB_L006","WCFB_L010","WCFB_L011","WSHB_G001","WSHB_G006","WSHB_G009","YCNB_L001","YCNB_L002","YCNB_L004","YCNB_L005","YCNB_L007","YCNB_L008","YCNB_L009","YCNB_L010"
"1",1,"ASV_1","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae",0.623622047244095,0.605142002989537,0.106629143214509,0.158139534883721,0.230269518462608,0.36,0.0769230769230769,0.138316920322292,0.25,1,0.745666262346214,0.659722222222222,0.745019920318725,0.0198716812590833,0,0.121212121212121,0.0714285714285714,0,0.632183908045977,1,0.562542983130386,0.786715992325549,0.384247918836989,0.666666666666667,0.484982146607855,0,0.534283975849104,0.205335847800765,0.801447963800905,0.176828511113871,0.202742728189995,0.502679590333251,0.545454545454545,0,0.633333333333333,0.636363636363636,0.5,0.0976354679802956,0.198285793281416,0.507462686567164,0.166666666666667,0.835765173541399,0.0416543683589138,0.859375,0,0.717095134350036,0.368284424379233,0.571428571428571,0.2,0.782608695652174,0.973176931036034,0.666666666666667,0.617021276595745,1,0.703703703703704,0.916514299109236,0.852609508698362,0.676996614798995,0.438997005988024,0.935473261856213,0.913738019169329,0,0.0103136902469294,0.146780582225584,0.252660693884914,0.151006514466811,0.553940738146657,0.75,0.688213135525206,0.191358024691358,0.651741293532338,0.359742267006564,0.620713746751251,1,0.6,0,0.895972813221604,0.689778840406455,0.584615384615385,0.275903344056258,0.215946843853821,0.25,0.0715671480922613,0.207174323473883,0.798195605247136,0.111716621253406,0.0565552699228792,0.553992836072482,0.361877116594098,0.218503745500535,0.592592592592593,0.285714285714286,0.424379811804961,0,0.0576152731611694,0,0.0154514727184935,0.902960957288846,0.471158507028599,0.25,0.168053520999139,0.634502561648343,0.0634044173648134,0.0320256204963971,0.383098591549296,0.331983805668016,0.530973451327434,0.0521365773870374,0.828651840406159,0,0.54251012145749,0.488355681016232,0.688933200398804,0.516233880939763,0.439482203906128,0.0234648027958063,0.72,0.598095211099931,0.674285714285714,0.631578947368421,0.415979097909791,0.53013698630137,0.222222222222222,0.0458015267175573,0.468085106382979,0.833333333333333,0.328965839962564,0.618789965568126,0.228507566653143,0.168481253971616,0.5997715156131,0.795898455477624,0.72081666821691,0.15414364640884,0.678543738968344,0.748086791226325,0.910869452104688,0.246246246246246,0.513446172351577,0.277879341864717,0.92517803141157,0.044839255499154,0.0616170937744019,0.430129603490312,0.368622330006529,0.512820512820513,0.588235294117647,0.368973056821149,0.925373134328358,0.103290339563043,0.106812447434819,0.0610794684024953,0.304295920107635,0.856034679443304,0.865424318157123,0.250138580931264,0.421052631578947,0.158800941409637,0.855214743641242,0.489588770952961
"2",2,"ASV_2","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum",0,0.00356352765321375,0.00956848030018762,0.0383720930232558,0.335515714843021,0.36,0.615384615384615,0.00520174111690797,0.5,0,0,0.0902777777777778,0.0219123505976096,0.0455425188756159,0,0.181818181818182,0,0,0.114942528735632,0,0.0433977911727821,0,0.0198402642865858,0,0.0151228733459357,0,0.00446198730049768,0.00893005713017916,0,0,0.0400234347028892,0.00894159793144293,0,0,0.133333333333333,0.363636363636364,0.423076923076923,0.0870935960591133,0.0311045573936685,0.111940298507463,0,0.00364608163731224,0.593270365997639,0,0,0.0259114015976761,0.182590293453725,0,0,0,0.0104368167708849,0,0.25531914893617,0,0.185185185185185,0.0180496952648851,0.0100300334334448,0.0181827427392523,0.0351796407185629,0.0274068714508101,0,0,0.0216116745838148,0.0370011921395701,0.0336119295291925,0.0127354891718998,0.00850211093601043,0,0.0286398300598684,0.051440329218107,0.0199004975124378,0.215399747084446,0.1024369113825,0,0.4,0,0,0.0217174736003188,0.153846153846154,0.236627515523304,0.232558139534884,0.541666666666667,0.109721922828196,0.00113278791692889,0.00420656445453036,0.127611262488647,0.00375716828158988,0.00252844500632111,0.0323173681664248,0.0988909426987061,0.296296296296296,0,0.0357142857142857,1,0.0185800732975369,0,0.012071463061323,0,0.21432762711432,0,0.00471178096259269,0.114814830640647,0.00561690784463062,0.0160128102481986,0,0.212955465587045,0.114776079377849,0.018298916377019,0.0440373047845042,0,0,0,0.0357926221335992,0.256633103691927,0.0414327504518884,0.440589116325512,0,0.352152099661276,0.0457142857142857,0.12280701754386,0.291254125412541,0.0287671232876712,0.777777777777778,0.290076335877863,0.0425531914893617,0,0.354468881609733,0.00209050664043286,0.0021586203201188,0.00891760220292311,0.0264661081492765,0.0859520259199941,0.0255790159054972,0.0862983425414365,0.0643176457003349,0.0234608149235209,0.0383474686508143,0.123123123123123,0.0854025259902053,0.172178826657803,0,0.023582910321489,0.00482714559522964,0.0428589760041063,0.00652924167521686,0.153846153846154,0.156862745098039,0.0973080205942076,0,0.0645433008686497,0.031959629941127,0.425711960943857,0,0.00302822890091884,0.00630229273063132,0.0167336474501109,0,0.0079689499979355,0,0.0026390580592773
"3",3,"ASV_7","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA,0.0188976377952756,0.0307443946188341,0.17379612257661,0.034593023255814,0.00269688077751582,0.2,0,0,0,0,0,0.0902777777777778,0.0776892430278884,0.213264329516855,1,0,0.428571428571429,1,0,0,0.0420627857113961,0,0.0236131054612345,0.176470588235294,0.0944479451095708,0,0,0.0107604415108991,0,0,0.0466415683891897,0.00699149175899577,0,0,0,0,0,0,0.0339615685913092,0.141791044776119,0.5,0.00406239298448233,0.0449933589138135,0.0625,0,0,0,0,0,0,0.000506095640829547,0,0,0,0,0.017850445382091,0,0.00119862267358236,0.0371756487025948,0,0.00319488817891374,0,0,0.0507043878427401,0,0.00154547410841794,0.00153699488316893,0,0.000450805815395019,0,0.0298507462686567,0.189064413175696,0.000936198753598077,0,0,0,0,0.194660290894601,0.0923076923076923,0.124485673673973,0.245847176079734,0,0.0777107135158439,0.69842668344871,0.100570100182653,0.581743869209809,0.0530947201898359,0.00713758954909397,0,0.0101177157311022,0,0.714285714285714,0.00470487596236099,0,0.0179834654393591,0,0.122324159021407,0,0.00321453172436666,0.166666666666667,0.0504402192790371,0.0623469740929543,0.677646610814928,0.829463570856685,0.0669014084507042,0,0,0,0,0,0.00242914979757085,0.0063514467184192,0.0120638085742772,0.0260378025083907,0.000619301045762823,0.22191712431353,0.28,0,0,0.0701754385964912,0,0,0,0.0343511450381679,0.106382978723404,0,0.0196537201684605,0.000655845220527955,0.00034446068938066,0,0,0,0,0,0,0.00251154819710236,0.00697226702742078,0,0,0,0,0.00211505922165821,0.00653084404060481,0.0020531245989991,0.00121257345396885,0,0.176470588235294,0.0090265300475101,0,0.00658067912608581,0,0.0309194467046379,0.000378996039491387,0.0107025076224255,0,0.00145509977827051,0,0,0,0
"4",4,"ASV_3","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica",0,0,0,0,0,0,0,0.00155897879171426,0,0,0,0,0,0,0,0,0,0,0,0,0.012672438205429,0.00132500874505772,0.00675732747698285,0,0,0,0.00736383918124093,0.0310056020855289,0,0,0.00934133295722082,0.0465280887514987,0,0.5,0,0,0,0,0,0,0,0.00427054865806738,0,0,0,0.144226579520697,0.349717832957111,0,0,0.130434782608696,0,0,0,0,0,0.000890764181903422,0.000963336544455148,0.0072353223205335,0.00773453093812375,0,0.0271565495207668,1,0.00932939615697351,0.00124341439027829,0.0410678852744874,0.00219105190054189,0.00513628669818479,0,0.0161709510295107,0.0493827160493827,0.0248756218905473,0.00160581304321644,0.00430371964340609,0,0,0,0.00281743323118928,0,0,0,0.00664451827242525,0.0833333333333333,0,0,0,0,0,0,0.00220609579100145,0.00661542951648993,0,0,0,0,0,0.666666666666667,0,0.00296969167612892,0.0190575809373166,0.25,0.00869867254632496,0,0,0,0,0.0825910931174089,0,0,0.00640141272556702,0,0.215384615384615,0.0239943542695836,0.017148554336989,0.109273979862215,0.107657682605697,0.209186220668997,0,0.00992786178942445,0.148571428571429,0.0263157894736842,0.00508800880088009,0.00349315068493151,0,0,0,0,0.160739354234909,0.00475487784882768,0.0746025306378647,0.426646896843889,0.091964965727342,0.0169731779606414,0.0189982327225374,0.00966850828729282,0.0802527177050857,0.0902679969664437,0,0.035035035035035,0.0292407709711602,0.371946152567725,0,0,0,0.0116771461568074,0,0.128205128205128,0.0392156862745098,0.0613227218339914,0,0.172571729402474,0.0256518082422204,0.0102522375915378,0.447840670064998,0.0147885425092817,0.00339563185917636,0.399459534368071,0,0.752178042033114,0.109452576441667,0.372484194652282
"5",5,"ASV_6","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__heimaeyensis",0,0.000849028400597907,0.0265165728580363,0,0.043760706955917,0.08,0,0,0,0,0.00225957373072258,0,0,0,0,0,0,0,0,0,0.000981026740563939,0.0526823477034948,0.205619844018357,0.0392156862745098,0,0,0,0.0204115591546952,0.155656108597285,0.00206962208700691,0.454893621638042,0.123911190720384,0.363636363636364,0,0,0,0,0,0,0.171641791044776,0,0,0,0,0,0,0,0.428571428571429,0,0,0,0,0.0851063829787234,0,0,0,0,0,0,0,0.00798722044728434,0,0,0,0,0,0,0,0,0,0.0696517412935323,0,0.0016348545398653,0,0,0.428571428571429,0.0185311587783377,0,0.0615384615384615,0,0.00664451827242525,0,0,0.0308370044052863,0.0530802014722976,0.0281562216167121,0.140597192011074,0.260851243152128,0.0065795839380745,0,0,0,0,0,0,0,0,0,0,0,0.557470136067777,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0228571428571429,0.0701754385964912,0.0225522552255226,0.00424657534246575,0,0,0.25531914893617,0,0,0.00254140022954583,0,0,0,0,0,0.00696132596685083,0.00438791837811979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454163162321278,0.00922158936804991,0,0,0,0,0.315789473684211,0,0,0
"6",6,"ASV_18","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Herpotrichia","s__pinetorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215526833861166,0.0509236145781328,0,0,0,0.0614035087719298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,"ASV_8","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__tenuissima",0,0.0149357249626308,0,0.00261627906976744,0.0813813457265465,0,0,0.034359275152039,0,0,0.00194073817362675,0,0,0.0435716564460671,0,0.121212121212121,0,0,0,0,0.0247785104575428,0.000646604267588166,0.0792765905528808,0,0,0,0.00246501396321201,0.002218647734206,0,0.104060598534708,0.000824554360916123,0.10350007944877,0,0,0.233333333333333,0,0,0,0.0395373485092853,0,0,0.0027261678540493,0.0418572904368359,0,0,0,0.00141083521444695,0,0,0,0.00125961581717576,0,0,0,0,0.0112869198312236,0.00583668612228707,0.00399540891194119,0.0117265469061876,0.00100857286938981,0.0151757188498403,0,0,0.00961402879081155,0.00661415429018099,0,0.00649818089846106,0,0,0.364197530864198,0.054726368159204,0,0.000908252522147388,0,0,0,0.00120539669169438,0,0.0461538461538462,0,0.147840531561462,0,0.0067902565208019,0,0,0,0.00909630215542812,0,1.9351717464925e-05,0.00573985796283685,0,0,0.0213857998289136,0,0.13372538992585,0,0.0593915982617093,0,0,0,0.00237099234335594,0.0113362019236932,0.00780654988575781,0.0496397117694155,0.0158450704225352,0.0097165991902834,0,0.00828051523205888,0,0,0,0,0,0.0134605193428723,0.00230601527609246,0,0,0.00245893507561048,0,0,0,0.00383561643835616,0,0,0,0,0.013804398689752,0,0,0,0,0.00075477255573351,0,0.660055248618785,0.00720872304976823,0.0993588165190927,0,0.033033033033033,0.00177563937337114,0.00315771979391723,0.000829187396351575,0.354166666666667,0.00326542202030241,0.0020531245989991,0.00186549762149053,0,0,0.00858611644847356,0.0746268656716418,0.0191629376151619,0,0.0246270680770274,0,0.00128596021819841,0.0942355753558622,0,0,0.0052851067343821,0,0.00440809697813352
"8",8,"ASV_5","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii",0,0.00231988041853513,0,0.0627906976744186,0.0831114201875943,0,0,0.215061896088661,0,0,0.0121192167735228,0,0,0.0842720924462089,0,0.0909090909090909,0,0,0,0,0.0132691451919576,0,0.00565926176197314,0.117647058823529,0.0595113071483582,0,0.00248061531740955,0.0533584780076543,0,0,0.223475930607241,0.063038987678218,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0.00688453159041394,0.00725169300225734,0,0,0,0,0,0,0,0,0.00954055321143929,0.040686802289341,0.0165482572752764,0.0109780439121756,0,0.00559105431309904,0,0.00881585141438781,0.00182025611772699,0.050808730683663,0.0713265645479977,0.0144360785229285,0,0.134842166736678,0.0185185185185185,0.0597014925373134,0,0.00789481038481961,0,0,0,0.00575104927603584,0,0,0,0.0182724252491694,0,0,0.00195091252359975,0.00132838877511485,0,0,0.00445111672987779,0.16656023222061,0.334371047767293,0,0,0.0887938408896493,0,0.05667774652689,0,0.0782230806373733,0,0,0,0.000664481930622046,0,0,0,0,0,0.0337892196299276,0.00480474340625639,0.00380773687986314,0,0.0437246963562753,0,0.00319042871385842,0.00166048401342519,0,0,0,0,0.0228571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0.00800795272546529,0.0332294670263231,0.00988950276243094,0.0163639662823114,0.013473717386808,0,0.0500500500500501,0.0217659019961623,0.0116337045039056,0.0015120476051117,0.00454737732656514,0.00340739689075034,0.0420890542794816,0.00447719429157728,0.102564102564103,0,0.0622853958071066,0,0.124137931034483,0.0853658536585366,0.00678058041768375,0.0936688711602964,0.00114077116130504,0,0,0,0,0,0.000464010208224581
"9",9,"ASV_9","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella",NA,0,0,0,0,0,0,0.307692307692308,0,0,0,0,0,0,0.0020346673283471,0,0,0,0,0,0,0.00202273554755451,0,0,0,0,0,0.00574129834469632,0,0,0,0,0,0,0,0,0,0,0,0,0.0298507462686567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0.175577803130328,0.0761229030124466,0.00436254083768609,0.218992587404424,0,0.00897171876547511,0,0,0,0.0269122208870134,0,0,0,0.0224087601841498,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0.00701454234388366,0,0,0,0,0,0,0,0,0,0.00371287128712871,0,0,0.127935222672065,0.0214534727809064,0.0179922306276835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127659574468085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282254653130288,0.00674380634627671,0.00975234184524573,0.322544538755713,0,0,0.0936015309244398,0,0,0.155592935239697,0,0,0,0,0,0.184210526315789,0,0,0
"10",10,"ASV_4","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae",0,0,0,0,0,0,0,0,0,0,0.00108126841102062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101309248757264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106239969918148,0.0381124557260921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0992184729242957,0.0237052551408987,0.0512409927942354,0,0,0,0,0,0,0,0,0,0.00261437908496732,0.0140576302420309,0.00798801797304044,0,0.0196431355319662,0,0,0,0,0,0,0,0,0.0474964904071128,0.358706345302509,0.667404067698008,0.395954246981572,0.278750952018279,0,0,0,0,0.00934689897666723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148357999658904,0.00595275133262813,0.0183907421492991,0.0304185144124169,0,0.0243197489574301,0.00877291643234732,0
