"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","AGFB_L005","AGFB_L010","AGFB_N003","BHEB_G002","BHEB_G003","BHEB_G006","BHEB_G007","BHEB_G008","BHEB_G009","BHEB_N002","BHEB_N004","BHEB_N005","BHEB_N006","BHEB_N208","CCNB_G004","CCRB_N001","CCRB_N002","CCRB_N003","CCRB_N006","CCRB_N007","HDRB_G001","HDRB_G002","HDRB_G005","HDRB_G006","HDRB_G007","HDRB_G010","HHBB_G002","HHBB_G010","HHBB_L008","HHBB_L010","HUOB_G012","HUOB_G022","HUOB_G062","HUOB_G092","HUOB_G112","KNOB_L005","KNOB_L009","KNOB_L010","NFWB_L006","NFWB_L010","NFWB_N002","NFWB_N006","NFWB_N008","NFWB_N010","OPNZ_L103","OPNZ_L104","OPNZ_L105","OSKB_L001","SDSB_G002","SDSB_G003","SDSB_G005","SDSB_G008","SDSB_G009","SDSB_G010","SPLB_L001","SPLB_L002","SPLB_L003","SPLB_L005","SPLB_L006","SPLB_L007","SPLB_L009","TRTZ_L001","TRTZ_L003","TRTZ_L004","TRTZ_L005","TRTZ_L006","TWGB_G001","TWGB_G002","TWGB_G006","TWGB_G009","WCFB_G004","WCFB_G006","WCFB_G008","WCFB_G009","WCFB_L001","WCFB_L007","WCFB_L009","WSHB_G002","WSHB_G003","WSHB_G004","WSHB_G005","WSHB_G007","WSHB_G008","WSHB_G010","WSHB_G205","AGFB_L001","AGFB_L002","AGFB_L004","AGFB_L006","AGFB_L007","AGFB_L011","AGFB_N004","AGFB_N005","AGFB_N007","AGFB_N008","AGFB_N009","BHEB_G001","BHEB_G005","BHEB_N001","CCRB_N005","CCRB_N009","CFZZ_G004","CFZZ_G008","HDRB_G003","HDRB_G008","HDRB_G009","HHBB_G001","HHBB_G004","HHBB_G005","HHBB_G009","HHBB_L002","HHBB_L003","HHBB_L009","HULB_L002","HUOB_G082","HUOB_N001","HUOB_N003","HUOB_N005","KNOB_L001","KNOB_L002","KNOB_L003","KNOB_L004","KNOB_L008","LMZZ_G002","LMZZ_G004","LMZZ_G006","LMZZ_G008","NFWB_L004","NFWB_N007","NFWB_N009","OPNZ_L010","OPNZ_L101","OPNZ_L107","OSKB_L002","OSKB_L004","SDSB_G004","TRTZ_L002","TRTZ_L010","TWGB_G004","TWGB_G007","TWGB_G008","WCFB_G003","WCFB_G005","WCFB_G007","WCFB_G010","WCFB_G011","WCFB_L004","WCFB_L006","WCFB_L010","WCFB_L011","WSHB_G001","WSHB_G006","WSHB_G009","YCNB_L001","YCNB_L002","YCNB_L004","YCNB_L005","YCNB_L007","YCNB_L008","YCNB_L009","YCNB_L010"
"1","ASV_1","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae",0.537292817679558,0.547211772082452,0.0411510036296847,0.106808357348703,0.151063544322087,0.235294117647059,0.403225806451613,0.261904761904762,0.11519401157485,0.5,0.457142857142857,0.631578947368421,0.729689675839921,0.42560553633218,0.60748959778086,0.0115195364869188,0.264705882352941,0.0699300699300699,0.5,0,0.385281385281385,0.465909090909091,0.329492567236356,0.767634702526188,1,0.236395445036386,0.638095238095238,0.332661199982076,0,0.477464607464607,0.0787262793020387,0.727167126470161,0.133619928154997,0.165400222476381,0.380783501773231,0.5,0.409090909090909,0,0.476923076923077,0.396551724137931,0.36231884057971,0.0338406735751295,0.112838241146041,0.408510638297872,0.548387096774194,0.814392770424889,0.0239506459798168,0.692307692307692,0.75,0.708649897330595,0.320971645919779,0.628571428571429,0.0909090909090909,0.526315789473684,0.538461538461538,0.557692307692308,0.967002543533555,0.428571428571429,0.537037037037037,0.619718309859155,0.528571428571429,0.864665113456154,0.724127140238723,0.291210659876344,0.0571956876018553,0.89143227338984,0.470588235294118,0.84885290148448,0.777777777777778,0.00860793137817512,0.0875972293985393,0.150851581508516,0.101124416777322,0.453372140883166,0,0.72972972972973,0.594626168224299,0.100671140939597,0.514705882352941,0.238563681023371,0.483534032971611,0.638888888888889,0.619047619047619,0.148148148148148,0.850051642730671,0.270250723240116,0,0.0436212039045553,0,0,0,0.0362980970743566,0.716916134979743,0,0,0.468057278159883,0.272774281239843,0.0772648053856406,0,0,0,0.682953396094297,0.333333333333333,0,0.106974786287885,0,0.443012870298458,0,0,0,0,0,0,0.721324966567226,0,0,0,0.515200868621064,0.406787371485761,0.358749533920757,0,0,0.472931503979891,0,0,0.195652173913043,0.37434554973822,0,0,0,0,0,0,0.64917189403854,0.21703530566016,0.593143117489606,0.683147125904869,0.832583758653798,0,0.263378152597661,0,0.883807460437076,0,0,0.0924300603400987,0.137181470324839,0,0,0.24017195597501,0,0,0,0,0.296675241281937,0.82141444580469,0.778667680680657,0.153447805941673,0,0.0771236253318165,0.868450872223051,0.449176878678457
"2","ASV_2","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum",0,0.00533936828905087,0.00756548738356584,0.0473703170028818,0.394249326576739,0.411764705882353,0.370967741935484,0.19047619047619,0.00710432381854517,0,0.457142857142857,0,0,0.0934256055363322,0.029126213592233,0.0468796612789022,0,0.0839160839160839,0,0,0.116883116883117,0,0.0417545618277053,0,0,0.020408808511311,0,0.0166689071111709,0,0.00656370656370656,0.00577717721246304,0,0.000765561509922855,0.0531514876149592,0.0110903835509727,0,0,0.428571428571429,0,0.172413793103448,0.391304347826087,0.0511334196891192,0.032008555511341,0.170212765957447,0.032258064516129,0.00547342187854826,0.578127723865419,0,0,0.0409137577002053,0.302169778699862,0,0.363636363636364,0.263157894736842,0,0.0865384615384615,0.0178927802778321,0,0.203703703703704,0,0.228571428571429,0.0275662235448441,0.0138137601144441,0.0155950688770097,0.00786636580167983,0.0484622721301445,0,0,0,0.0276359902141412,0.038678797357874,0.0350167685934109,0.0139973442810676,0.0100840830246369,0,0,0.0413107370913858,0.0416107382550336,0.0470588235294118,0.224433959969844,0.139187017676116,0.0833333333333333,0.285714285714286,0,0,0,0,0.224071312364425,0,0,0.0509098414227237,0,0.000703524902355595,0.0939171122994652,0,0,0.0454008214401797,0.126029456993473,0,0.0070221066319896,0,0,0.304717798109869,0,0.00293584319143425,0,0.144263841118385,0,0,0,0.0679419525065963,0.0937677590452737,0.001198738170347,0.0608990844563317,0,0,0,0.047014115092291,0.400843114063021,0.0526483113213101,0.513584847073436,0,0.506399245915375,0,0,0.39255660188339,0.030977312390925,0,0,0,0,0,0.572631072631073,0,0.00155102511939286,0.100333162480779,0.0330463094569134,0.0526555156905351,0,0.0740233908823295,0.389864029666255,0,0.00715015321756895,0,0.0354726641067837,0,0,0,0.11890716943134,0,0.0486785364692188,0,0.469142291756849,0,0,0.00254295695985931,0.0191393355743315,0,0.00725255972696246,0,0
"3","ASV_4","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__basi-inflatum",0.0193370165745856,0.0468590798651932,0.123846591157563,0.0365634005763689,0.00285882365083133,0,0,0,0.000554483810227916,0,0,0,0,0.100346020761246,0.105409153952843,0.2169051444345,0.147058823529412,0.188811188811189,0.194444444444444,0.388888888888889,0.0649350649350649,0,0.0436767808064507,0,0,0.025335799463564,0.152380952380952,0.107362100640767,0.5,0,0.00577717721246304,0,0,0.0607109843796512,0.0085279104569402,0,0.303030303030303,0,0.184615384615385,0,0,0,0.0343215280541186,0.157446808510638,0,0.00625949842493551,0.0404826931644295,0,0,0,0,0.228571428571429,0,0,0,0,0.000821756994717276,0.0816326530612245,0,0.0704225352112676,0,0.0289073359829277,0,0.000956342527592953,0.00720822364297355,0,0,0.0087719298245614,0,0,0.0514600120096636,0,0.00151059242023707,0.00176397953783736,0.545454545454545,0,0.000681904681354929,0.025503355704698,0,0.206169897127848,0.00118039161227607,0,0,0.333333333333333,0,0.422854387656702,0,0.114187906724512,0.579925650557621,0,0.0412438512607065,0.890435074188951,0.157904951359744,0.756350267379679,0.0307610004012304,0.011320329236667,0.00158082912271371,0.012746471653624,0,0.0200780234070221,0.134857626759818,0,0.00391581008321096,0,0.0669955098868837,0,0.0749334294907356,0.650710995393551,0.923319327731092,0.103221083455344,0,0,0,0,0,0,0,0.0205211726384365,0.0417917690231401,0.000730027277900975,0.264089427107592,0,0,0,0,0,0,0,0,0,0,0,0.0254930254930255,0.000361027122162552,0.000425630149042693,0,0.00348725746206988,0.0113699530041942,0,0,0,0,0.000306435137895812,0.00554569653948536,0.00100566831230572,0,0,0,0.0115968619971002,0,0.00515886663668351,0,0.0397934574237833,0.000154729899618978,0.0168000753366607,0,0.00166560673510796,0,0,0,0
"4","ASV_9","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__heimaeyensis",0,0,0.0130974767131674,0,0.0351212161869278,0,0.0483870967741935,0,0,0,0,0,0.00245110463712022,0,0.00554785020804438,0,0,0,0,0,0.0649350649350649,0,0.00067745826471544,0.0597607734502559,0,0.146386961126832,0.0380952380952381,0,0,0,0.00902806337269647,0.158559605052998,0.00203168246864142,0.423660833189716,0.110258092290031,0,0.166666666666667,0,0,0,0.173913043478261,0,0,0.136170212765957,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0.101851851851852,0,0,0,0,0,0,0,0,0.0107962213225371,0,0,0,0,0,0,0,0,0,0,0.0852941176470588,0,0.00150772710139465,0,0,0.222222222222222,0.0207677552626402,0,0.269230769230769,0,0,0,0,0.0256098583284433,0.0617403750515514,0.0247326203208556,0.0594824127323793,0.28402300146578,0.00666312088171852,0,0,0,0,0,0,0.241379310344828,0.514171919523357,0.777777777777778,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.263157894736842,0.266666666666667,0.0213384091364456,0.00473697332336076,0,0,0.625,0.616666666666667,0.571428571428571,0,0.00361027122162552,0,0.00484082237029444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491384811742182,0.00695689815101107,0,0,0,0,0.675,0,0,0
"5","ASV_10","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neostagonospora","s__caricis",0.00552486187845304,0.0431852026020848,0.718590108015918,0,0.000805011713952504,0,0,0,0,0,0,0,0,0.0103806228373702,0,0,0,0.034965034965035,0,0.277777777777778,0,0.0681818181818182,0.00683516834562489,0,0,0.00117510051588493,0,0,0,0.00664092664092664,0.00231087088498521,0,0,0,0.00175273159631824,0,0,0,0,0,0,0.0992551813471503,0.0846597692001592,0,0.129032258064516,0,0,0.0769230769230769,0,0,0.000886065006915629,0,0,0,0,0,0,0,0.0462962962962963,0,0,0.000509035377958768,0.000804685055210336,0,0.000924533032468347,0,0,0.0067476383265857,0,0,0.0813200854641176,0.00351811665680279,0.0207462813843849,0.00248427118245428,0,0,0.0510450585697974,0.010738255033557,0.0294117647058824,0,0,0,0,0,0,0.00578592092574735,0.230769230769231,0.0348088394793926,0.189591078066914,0,0.790409686629287,0.00360466091038645,0.0188738749666432,0,0.715126387588605,0.0322922539181418,0,0,0,0,0.000740975971207791,0,0,0.0344827586206897,0.00106856057335291,0,0,0,0,0,0,0,0.00189274447949527,0,0,0,0,0,0,0,0,0.454545454545455,0,0,0,0,0,0,0.0523560209424084,0,0.05,0,0,0,0,0.0192351500654935,0.00438799457905001,0.0465410076305018,0,0,0,0,0,0.129362614611062,0.00767964893033461,0.042579174468778,0,0,0.0451093968227842,0,0,0,0.0077917259291324,0,0,0,0,0,0,0,0
"6","ASV_8","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA,0.00414364640883978,0.0301453875695587,0,0.00342219020172911,0.110523980060479,0,0,0.238095238095238,0.0536001016553652,0,0,0,0.00380785963698604,0.0449826989619377,0,0.0535002497996212,0,0.041958041958042,0,0.222222222222222,0.0649350649350649,0,0.0314109307615622,0.00120163642701205,0,0.104726222657835,0,0,0,0.00476190476190476,0.00199753245990247,0,0.16509628408221,0,0.157305098296468,0,0,0,0.184615384615385,0,0,0,0.0468563469956228,0,0,0.00372658510879882,0.0492087473608771,0,0,2.56673511293634e-05,0.00274464038727524,0,0,0,0,0.144230769230769,0.00251418509098024,0,0.0833333333333333,0,0,0.020566987097911,0.0104162009924449,0.0043863856356771,0.00303998997116711,0.0023574295020605,0.294117647058824,0.0377867746288799,0,0,0.0126380762194696,0.00851581508515815,0,0.0108043746692538,0,0,0,0.452348993288591,0.0852941176470588,0,0.00168627373182296,0,0,0,0.00252065709226835,0,0,0,0,0,0,0,0,0,0.00237394677009496,0,0.00660402446591614,0.00714212486758022,0,0.197087126137841,0.0811897957023394,0,0,0,0.00211553406441585,0,0.016817374902918,0.00310434608451833,0,0,0,0,0.00353312302839117,0,0,0,0,0,0.0249598156067085,0.00371685931275389,0,0,0.00304775869291998,0,0,0,0,0,0,0,0,0,0.000481000481000481,0,0,0.0138390568939006,0.184899018279179,0,0,0,0,0,0.406128702757916,0,0,0,0,0,0.0121511682791574,0,0.0169052091325167,0,0.0300538000123678,0,1.88341651756286e-05,0.185659624022625,0,0,0.00753697383390216,0,0.00773364419550198
"7","ASV_3","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii",0,0.00305666588290618,0,0.0608789625360231,0.0806869433292395,0,0,0,0.238786142525443,0,0,0,0.016889363338989,0.013840830449827,0,0.0721902933977421,0,0.041958041958042,0,0,0.0432900432900433,0,0.0114121424755316,0.00125667320992864,0,0.00506399818728889,0.104761904761905,0.0567728637361653,0,0.00321750321750322,0.0278871198323639,0,0.00144278899947,0.259686339636831,0.0697300178348127,0,0,0,0.0461538461538462,0,0.072463768115942,0,0,0.0297872340425532,0,0,0,0.027972027972028,0,0.00959958932238193,0.00892548409405256,0,0,0.210526315789474,0.307692307692308,0.0673076923076923,0,0,0,0.140845070422535,0,0.012021066233334,0.0497563592471724,0.0113685581319636,0.00206844678450545,0,0.235294117647059,0.0121457489878543,0,0.00966504575795101,0.00168973173763074,0.0491221148155455,0.0690608744380962,0.015376021638149,0,0.162162162162162,0.164098511439083,0.00805369127516779,0.0970588235294118,0,0.00949272918443867,0,0,0,0.00800462325398387,0,0,0,0,0,0,0,0,0,0,0,0.20348373371155,0.380958890065954,0,0.0383875162548765,0.0347200169365936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172845834045219,0.014560539450633,0,0,0.0138276712546742,0,0,0,0,0.0106966538672518,0,0,0,0.0613972875300451,0,0.085028704463081,0,0,0.146258437614839,0,0,0,0,0,0,0
"8","ASV_6","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173160173160173,0,0.00666442683175352,0.00121080922416482,0,0.00373608190924852,0.019047619047619,0,0,0.00625482625482625,0.0105164208918395,0,0.00161945704022142,0.00658812101461764,0.0321026629220393,0.5,0,0.142857142857143,0,0,0,0,0,0,0,0.00397114225656374,0,0,0,0.128952772073922,0.276970954356846,0,0.181818181818182,0,0,0.0769230769230769,0,0,0,0,0,0,0,0.00282542533987948,0.000861852826877272,0.0023934207921683,0,0.0229419703103914,0.222222222222222,0.00673532876257211,0.000687762711391026,0.0231801144209903,0.00153495681411186,0.00382195566531428,0,0,0.012781748213304,0.0228187919463087,0.0147058823529412,0.000984946131958462,0.00328327414843177,0,0,0,2.45917765099351e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204712946956601,0.0733716663068862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521649425038595,0.037801127626858,0.0573166297557267,0,0,0,0,0,0,0,0,0,0,0,0.0324160250188198,0,0.0263763591629408,0,0,0.432566775622304,0,0,0.278943702492353,0,0.792140690178233,0.0712539138213806,0.316226436552842
"9","ASV_5","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA,0,0,0,0,0,0,0,0,0,0.5,0,0.368421052631579,0,0,0,0,0.352941176470588,0,0,0,0,0.238636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362068965517241,0,0,0,0,0,0,0,0,0,0,0,0,0.363636363636364,0,0,0,0,0.346938775510204,0,0,0,0.00197740666053214,0,0.63087794569486,0,0,0,0.01417004048583,0,0,0,0,0,0,0.181818181818182,0,0,0.0214765100671141,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0.0340314136125654,0,0,0,0,0,0,0,8.2636432750471e-06,0,0,0,0,0,0,0,9.1424392027793e-05,0,0,0,0,0,0,0.00542437779195916,0,0,0,0,0,0,0,0,0
"10","ASV_26","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__triglochinicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240690456650933,0,0,0.00208672557977773,0,0,0,0,0,0,0,0,0.003546462762141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305441478439425,0.002442081604426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010229161138963,0,0,0,0,0,0,0,0,0,0.0330906421727141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310344827586207,0.0801744236249029,0,0,0,0,0,0,0,0,0,0,0,0.00807754442649435,0.0871878393051032,0,0,0,0,0,0,0.0888888888888889,0,0,0,0,0,0.283333333333333,0,0,0,0,0.00165157469104163,0,0,0.130012663571127,0,0.0205191594561187,0,0,0,0,0,0,0,0,0,0.675467604963094,0.0188257817485641,0.0285387421928143,0,0,0,0,0.25,0,0,0
