"","ASV_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","AGFB_L004","AGFB_L005","AGFB_L006","AGFB_L007","AGFB_L010","AGFB_L011","AGFB_N003","AGFB_N004","AGFB_N005","AGFB_N007","AGFB_N008","AGFB_N009","BHEB_G001","BHEB_G002","BHEB_G003","BHEB_G005","BHEB_G006","BHEB_G007","BHEB_G008","BHEB_G009","BHEB_N001","BHEB_N002","BHEB_N004","BHEB_N005","BHEB_N006","BHEB_N007","BHEB_N008","C10082022","C11052022","C1192023","C12192022","C2042023","C3142023","C8262022","C9302022","CA1122023","CA12192022","CB1122023","CCNB_G004","CCRB_N001","CCRB_N002","CCRB_N003","CCRB_N004","CCRB_N005","CCRB_N006","CCRB_N007","CCRB_N008","CCRB_N009","CFZZ_G004","CFZZ_G008","HDRB_G001","HDRB_G002","HDRB_G003","HDRB_G004","HDRB_G005","HDRB_G006","HDRB_G007","HDRB_G008","HDRB_G009","HDRB_G010","HDRB_G202","HHBB_G001","HHBB_G002","HHBB_G004","HHBB_G005","HHBB_G009","HHBB_G010","HHBB_L002","HHBB_L003","HHBB_L008","HHBB_L009","HHBB_L010","HULB_L002","HUOB_G012","HUOB_G022","HUOB_G062","HUOB_G082","HUOB_G092","HUOB_G112","HUOB_N001","HUOB_N003","HUOB_N005","KNOB_L001","KNOB_L002","KNOB_L003","KNOB_L004","KNOB_L005","KNOB_L008","KNOB_L009","KNOB_L010","LMZZ_G002","LMZZ_G004","LMZZ_G006","LMZZ_G008","NFWB_L004","NFWB_L006","NFWB_L010","NFWB_N001","NFWB_N002","NFWB_N003","NFWB_N006","NFWB_N007","NFWB_N008","NFWB_N009","NFWB_N010","OPNZ_L010","OPNZ_L101","OPNZ_L103","OPNZ_L104","OPNZ_L105","OPNZ_L107","OSKB_L001","OSKB_L002","OSKB_L004","OSKB_L005","OSKB_L007","P1PCR1NEG","P1PCR2NEG","P2PCR1NEG","P2PCR2NEG","SDSB_B001","SDSB_B002","SDSB_B005","SDSB_G002","SDSB_G003","SDSB_G004","SDSB_G005","SDSB_G008","SDSB_G009","SDSB_G010","SPLB_L001","SPLB_L002","SPLB_L003","SPLB_L005","SPLB_L006","SPLB_L007","SPLB_L009","TRTZ_L001","TRTZ_L002","TRTZ_L003","TRTZ_L004","TRTZ_L005","TRTZ_L006","TRTZ_L010","TWGB_G001","TWGB_G002","TWGB_G004","TWGB_G006","TWGB_G007","TWGB_G008","TWGB_G009","WCFB_G003","WCFB_G004","WCFB_G005","WCFB_G006","WCFB_G007","WCFB_G008","WCFB_G009","WCFB_G010","WCFB_G011","WCFB_G012","WCFB_G211","WCFB_L001","WCFB_L004","WCFB_L006","WCFB_L007","WCFB_L009","WCFB_L010","WCFB_L011","WSHB_G001","WSHB_G002","WSHB_G003","WSHB_G004","WSHB_G005","WSHB_G006","WSHB_G007","WSHB_G008","WSHB_G009","WSHB_G010","WSHB_G205","YCNB_L001","YCNB_L002","YCNB_L004","YCNB_L005","YCNB_L007","YCNB_L008","YCNB_L009","YCNB_L010"
"1","ASV_1","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae",3918,398,99,19,55868,745,1891,3497,32185,241,652,23387,21096,602,14645,4892,13,34,20,9950,33,14,25,21,244789,15,11217,0,4,0,0,27,18,0,0,0,18,26,447,3214,18,19,0,741,27,0,8,124,11409,20334,98,50,15,10,59840,83715,18,12542,8,44868,20,162534,76,705,42,1171,7428,374,2035,7,557,37068,16656,4029,5017,4547,8,21123,37277,727,732,7375,16042,94082,112,30,10,92945,36,9,155,124,6537,8637,16,40,32,0,34,9,1054,30,4546,11,105,47,26,26,139744,2482,1532,108,17062,32697,8824,3574,17,22,22,13,45272,34256,2691,18,27609,44340,14874,31,10,19,23,67,99002,30,67,53,46,88322,85215,16208,100304,3659,49616,19110,17,1267,238,16,19181,1841,294,21461,25100,456,4597,929,8310,30817,3642,4316,0,7105,4,38,69,36,224834,101870,91,1958,84,184,19582,48671,264,32,22,1256,13,69144,17969,46185,35451,7729,31,4257,60863,18429
"2","ASV_2","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum",6901,0,205,31,546,1770,347,38,319,571,77,175,3363,264,38283,3978,8,24,9,616,16,0,17,0,0,0,1584,0,3,0,0,14,0,0,0,0,0,0,22,13044,0,13,2,425,0,0,0,138,0,16476,28,0,0,0,7582,0,0,562,0,3876,2,52227,0,101,42,0,373,496,785,0,309,511,1474,296,0,27,6,6785,1083,6,29,723,13511,13704,3598,0,0,96867,0,7,19,45,8128,787,10,0,11,0,28,0,1580,162,1288,0,41,0,7,2,941,59635,2671,0,106,505,733,272,0,0,0,3,8751,2054,2845,0,1595,7337,13639,0,5,6,0,10,1830,0,23,0,17,2817,4289,310,5366,503,2694,1332,0,9,192,0,4942,1867,916,0,11080,430,1066,134,1150,687,678,135,0,632,0,13,14,0,15631,49353,0,2130,32,17,18459,14036,136,4,7,15464,0,0,89,263,397,922,0,443,43,186
"3","ASV_3","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii",0,0,10,0,312,0,0,72,77,0,0,262,14157,338,7820,11534,0,0,0,20714,0,0,0,0,5664,0,3472,0,0,0,0,0,0,0,0,0,0,0,0,20086,0,6,0,1124,0,0,0,714,0,0,10,0,0,0,2072,137,0,0,0,961,0,0,11,0,0,0,1267,0,207,0,88,250,4,1424,0,49,0,33153,6803,91,0,0,81,8,0,0,0,0,0,0,5,0,0,0,0,3,0,0,5,0,0,0,0,0,7,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,784,2158,295,0,374,1600,413,0,0,4,8,7,0,0,0,10,0,1228,2148,1113,3912,132,0,17,4,18,83,0,1255,100,320,53,484,73,1494,78,5670,1046,502,73,0,2,0,5,0,6,62089,25752,0,3600,6,33,0,957,343,0,0,226,0,651,7947,81,0,0,0,56,0,275
"4","ASV_4","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__basi-inflatum",3396,14,183,0,4783,1226,5664,21272,6540,2290,947,529,134,203,277,400,0,0,0,48,0,0,0,0,0,9,191,0,0,0,0,0,0,0,0,0,0,8,76,60344,5,27,0,413,7,7,0,1301,0,235,15,0,6,0,7923,0,0,6234,5,4808,0,27042,16,13023,1785,309,2396,0,0,8,0,0,17,295,0,0,0,7750,832,0,5,216,1405,213,1728,13,0,0,20,0,0,23,19,11,0,12,0,0,0,0,0,16,1380,0,37,14,0,0,1075,4180,133,0,35,86,35,0,0,0,0,0,43,0,0,0,0,0,0,8,0,0,0,0,84,4,0,5,0,2953,449,0,329,460,0,252,0,11,0,0,0,0,0,0,14739,33,0,177,124,120,38,27,0,252,6,0,17,0,258,4818,22,221,19,0,16962,119,0,0,0,1314,9,0,35,919,0,82,0,0,0,0
"5","ASV_5","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,20,0,0,0,205,1,0,216587,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,19,0,0,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0
"6","ASV_6","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,34,778,5,0,10,0,1211,133,0,559,0,710,0,0,3,0,0,0,0,107,0,0,0,487,126,538,0,56,0,842,3132,248,35,177,3024,21042,830,0,2,1372,0,3,34,6,81,52,0,0,0,0,0,0,0,0,0,0,0,0,2,0,683,0,684,0,127,9580,20645,486,2,0,6,0,931,818,158,0,5022,5004,12816,0,3,0,0,9,0,0,0,0,0,0,9285,0,973,56,134,0,0,35,38,3,968,2195,224,0,198,0,706,1,127,261,88,0,0,0,0,8,6,0,4837,15741,4,3349,18,6,82,332,69,0,0,197,0,3,24713,715,126,11557,0,19066,7129,13475
"7","ASV_7","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25023,0,255,57,0,1476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2869,34,0,0,2905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17056,2177,207,0,9682,97935,20558,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8364,301,683,1015,0,565,609,0
"8","ASV_8","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA,0,3,128,0,3076,134,0,0,0,0,210,0,586,19,10740,348,0,0,10,4641,0,0,0,0,1277,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,14883,0,6,0,3928,0,4,0,906,0,0,15,0,0,0,5703,131,0,335,0,19876,0,6198,0,201,130,89,0,18,0,0,195,370,0,102,0,5607,0,0,15350,2,0,0,962,1086,0,0,0,721,0,0,10,13,0,113,0,12,0,0,0,0,0,0,1884,0,0,0,0,0,640,5081,141,0,0,0,0,0,0,0,0,0,1,0,26897,0,1,1111,127,0,0,0,0,15,257,0,10,0,0,2101,22506,233,1509,194,131,0,5,56,68,0,132,45,0,47,3615,7857,259,102,0,735,48,42,0,0,0,7,7,0,0,5159,13,778,337,30,0,170,16,0,0,1111,0,205,0,140,7951,0,3,298,0,411
"9","ASV_9","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__heimaeyensis",0,0,0,0,0,0,599,612,2546,75,1780,12596,452,0,3403,0,0,3,0,0,0,0,0,0,822,0,0,0,0,0,6,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,123,6512,0,47643,15,27787,0,0,4,0,0,0,0,0,0,0,0,0,0,461,1092,69,4,54087,10757,0,0,0,0,0,0,0,0,0,11,0,11,13,427,77,0,0,0,0,12,0,0,0,0,6,32,38,5,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,159,0,0,341,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,152,155,0,0,226,6,1689,0,0,0,0,28,0,0,0
"10","ASV_10","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neostagonospora","s__caricis",1028,4,52,0,4408,22979,32841,87,779,0,21389,1433,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,5,0,8,0,0,0,6,2,0,1241,0,0,100,0,223,0,0,0,0,0,0,0,0,0,0,31,516,0,118,0,0,0,0,171,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3094,21,3404,0,0,4,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,41,0,0,0,0,0,0,0,5,0,0,52,559,18,0,59,0,922,0,10,0,0,0,0,0,0,23293,0,107,3508,1703,169,85,526,0,31,0,0,0,0,19313,18638,0,0,8,10,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0
"11","ASV_11","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Ascochyta",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2267,140283,63,481,2174,1,227,996,862,0,30,0,0,0,0,2149,441,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","ASV_12","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","s__arachidicola",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,6,0,9,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,7,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,65,19,0,0,254,148,0,270,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45205,4323,1908,170,354,18116,144,5604,0,6655,0,0,0,0,4051,39955,0,0,0,0,0,3342,567,0,0,0,0,2512,0,0,0,0,20,0,0,0
