	ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	AGFB_L005	AGFB_L010	AGFB_N003	BHEB_G002	BHEB_G003	BHEB_G006	BHEB_G007	BHEB_G008	BHEB_G009	BHEB_N002	BHEB_N004	BHEB_N005	BHEB_N006	BHEB_N208	CCNB_G004	CCRB_N001	CCRB_N002	CCRB_N003	CCRB_N006	CCRB_N007	HDRB_G001	HDRB_G002	HDRB_G005	HDRB_G006	HDRB_G007	HDRB_G010	HDRB_G202	HHBB_G002	HHBB_G010	HHBB_L008	HHBB_L010	HUOB_G012	HUOB_G022	HUOB_G062	HUOB_G092	HUOB_G112	KNOB_L005	KNOB_L009	KNOB_L010	NFWB_L006	NFWB_L010	NFWB_N002	NFWB_N003	NFWB_N006	NFWB_N008	NFWB_N010	OPNZ_L103	OPNZ_L104	OPNZ_L105	OSKB_L001	SDSB_G002	SDSB_G003	SDSB_G005	SDSB_G008	SDSB_G009	SDSB_G010	SPLB_L001	SPLB_L002	SPLB_L003	SPLB_L005	SPLB_L006	SPLB_L007	SPLB_L009	TRTZ_L001	TRTZ_L003	TRTZ_L004	TRTZ_L005	TRTZ_L006	TWGB_G001	TWGB_G002	TWGB_G006	TWGB_G009	WCFB_G004	WCFB_G006	WCFB_G008	WCFB_G009	WCFB_G012	WCFB_L001	WCFB_L007	WCFB_L009	WSHB_G002	WSHB_G003	WSHB_G004	WSHB_G005	WSHB_G007	WSHB_G008	WSHB_G010	WSHB_G205	AGFB_L001	AGFB_L002	AGFB_L004	AGFB_L006	AGFB_L007	AGFB_L011	AGFB_N004	AGFB_N005	AGFB_N007	AGFB_N008	AGFB_N009	BHEB_G001	BHEB_G005	BHEB_N001	CB1122023	CCRB_N004	CCRB_N005	CCRB_N008	CCRB_N009	CFZZ_G004	CFZZ_G008	HDRB_G003	HDRB_G004	HDRB_G008	HDRB_G009	HHBB_G001	HHBB_G004	HHBB_G005	HHBB_G009	HHBB_L002	HHBB_L003	HHBB_L009	HULB_L002	HUOB_G082	HUOB_N001	HUOB_N003	HUOB_N005	KNOB_L001	KNOB_L002	KNOB_L003	KNOB_L004	KNOB_L008	LMZZ_G002	LMZZ_G004	LMZZ_G006	LMZZ_G008	NFWB_L004	NFWB_N001	NFWB_N007	NFWB_N009	OPNZ_L010	OPNZ_L101	OPNZ_L107	OSKB_L002	OSKB_L004	P2PCR1NEG	P2PCR2NEG	SDSB_B001	SDSB_B002	SDSB_B005	SDSB_G004	TRTZ_L002	TRTZ_L010	TWGB_G004	TWGB_G007	TWGB_G008	WCFB_G003	WCFB_G005	WCFB_G007	WCFB_G010	WCFB_G011	WCFB_G211	WCFB_L004	WCFB_L006	WCFB_L010	WCFB_L011	WSHB_G001	WSHB_G006	WSHB_G009	YCNB_L001	YCNB_L002	YCNB_L004	YCNB_L005	YCNB_L007	YCNB_L008	YCNB_L009	YCNB_L010
1	ASV_1	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae	389	55855	1882	593	14637	4	25	11	9972	5	16	12	244708	123	438	3205	9	10	18	0	89	41	59823	83686	9	44861	11	67	7424	0	37099	4020	5008	4538	21114	37150	1	27	0	31	23	25	0	1045	4537	96	17	139863	2473	99	9	27609	14852	22	1	10	14	58	98847	21	58	44	37	88329	16198	100182	3650	49536	8	1258	7	285	25091	4588	8301	30842	0	0	27	224978	75	175	19619	48747	23	13	4	69133	1121	0	1287	0	0	0	866	29552	0	0	20756	18463	2261	0	0	0	0	0	0	8778	17706	0	0	9911	0	159715	0	0	0	0	0	0	14024	0	0	0	4745	13413	91404	0	0	90311	0	0	3906	6006	0	0	0	0	0	0	0	14385	30085	0	0	42640	31633	60	41660	82669	16476	0	16552	0	18765	0	0	1011	1685	4443	0	0	99222	0	0	0	0	15339	43613	32764	5067	0	1627	58247	15798
2	ASV_2	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__herbarum	0	545	346	263	38200	7	23	8	615	0	16	0	0	27	21	13043	0	12	0	0	27	0	7581	0	0	3873	1	0	372	0	510	295	0	26	6785	1082	0	0	6	0	10	27	0	1579	1287	40	1	940	59694	0	0	1594	13982	0	4	5	0	9	1829	0	22	0	16	2816	309	5365	502	2693	0	0	0	915	11079	1065	1149	686	0	0	0	15630	31	16	18457	14032	3	6	0	0	0	0	6611	0	0	1480	0	29	281	0	0	3073	3688	0	0	0	135	0	0	0	16186	0	0	272	0	52010	0	0	0	206	495	19	1184	0	0	0	433	13217	13414	3308	0	96702	0	0	7837	497	0	0	0	0	0	0	2381	0	215	0	0	8462	1764	2555	7047	3999	1042	0	4652	1577	0	140	0	388	0	342	0	0	49124	0	1840	0	15173	0	0	107	632	0	153	0	0
3	ASV_3	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Filobasidium	s__chernovii	0	312	0	338	7818	0	0	0	20671	0	0	0	5664	4	0	20085	0	6	0	0	10	0	2072	137	0	961	0	11	1267	0	250	1424	0	49	33150	6803	0	0	0	3	0	5	0	0	0	7	0	0	0	4	0	374	413	0	0	4	8	7	0	0	0	10	0	1228	1113	3911	132	0	4	18	0	320	484	1494	5669	1046	0	0	6	62087	6	33	0	957	0	0	0	651	0	0	0	0	0	0	0	0	0	0	0	13773	11148	0	0	0	738	0	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	1772	0	1214	1762	0	0	869	0	0	0	0	117	0	0	0	0	25365	0	3214	0	0	7562	0	0	0	0	0	0	0
4	ASV_4	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__basi-inflatum	14	4783	5664	203	277	0	0	0	48	0	0	0	0	29	76	60348	5	27	7	7	15	0	7930	0	0	4808	0	16	2396	8	0	295	0	0	7750	832	0	20	0	12	0	0	0	0	1380	37	0	1075	4180	0	0	0	0	8	0	0	0	0	84	4	0	5	0	2953	0	329	460	0	0	13	0	0	14740	0	124	120	0	6	0	258	19	0	16955	119	0	0	9	0	1754	0	3369	156	0	1199	21244	6509	2263	920	502	107	373	0	0	0	386	0	1274	0	208	0	0	6207	0	27015	12996	1758	282	0	0	0	0	0	0	0	189	1378	186	1701	0	0	0	0	0	0	0	0	0	0	0	0	106	8	59	0	0	16	0	0	0	422	225	0	0	0	0	6	150	11	0	225	0	0	4791	0	195	0	1287	8	892	0	55	0	0	0	0
5	ASV_5	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	NA	NA	0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	0	12	0	0	0	0	21	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	17	0	0	0	202	0	217034	0	0	0	21	0	0	0	0	0	0	0	2	0	0	16	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
6	ASV_6	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Dioszegia	s__patagonica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1210	132	0	709	0	2	0	0	486	537	0	55	841	3132	1	0	2	0	0	0	0	0	0	0	0	682	0	0	0	5024	12816	0	2	0	0	8	0	0	0	0	0	0	0	972	55	133	0	34	2	223	197	705	126	260	0	0	0	4836	17	5	81	331	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675	18694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7231	0	0	0	0	0	2655	6936	0	0	0	0	0	0	0	0	0	0	0	0	13392	0	997	0	0	22365	0	0	9211	0	16711	4779	11122
7	ASV_7	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae	0	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17071	2177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22573	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	452	0	0	0	0	0	0	0	0	0	0	0	7235	95587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5908	0	0	0	0	0	0	0
8	ASV_8	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	NA	3	3077	0	19	10709	0	0	10	4640	0	0	0	1277	13	0	14885	0	6	0	4	15	0	5703	131	0	19874	0	0	0	0	370	102	0	5607	0	15347	0	0	0	12	0	0	0	0	1884	0	0	640	5081	0	0	1	127	0	0	0	0	15	257	0	9	0	0	2101	233	1509	194	131	5	56	0	0	3620	259	0	735	0	0	0	0	337	29	0	170	0	0	0	205	0	0	0	0	0	0	0	0	0	71	0	447	209	0	0	0	3789	0	767	0	0	0	0	196	0	6063	62	0	0	0	0	56	0	0	0	0	0	823	947	0	0	582	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	26773	972	22375	0	0	0	0	0	7952	0	0	0	0	0	0	5020	0	639	0	972	0	1	7812	0	0	159	0	272
9	ASV_9	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__heimaeyensis	0	0	599	0	3403	0	3	0	0	0	0	0	822	0	4	0	0	0	0	0	15	0	123	6515	0	27780	0	4	0	0	0	461	1092	69	54082	10757	0	11	0	0	0	12	0	0	0	32	0	0	0	0	0	0	0	5	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	29	0	152	0	0	6	1689	0	7	0	0	0	0	611	2545	74	1779	12595	451	0	0	0	0	0	0	0	0	0	7	0	47637	14	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	10	12	426	76	0	0	0	5	37	4	0	80	0	0	0	0	0	158	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	225	0	0	0	0	27	0	0	0
10	ASV_10	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Neostagonospora	s__caricis	4	4408	32864	0	78	0	0	0	0	0	0	0	0	3	0	0	0	5	0	5	0	6	1241	0	0	223	0	0	0	0	516	118	0	0	0	171	0	0	0	0	0	0	0	3065	3404	0	4	0	0	11	0	0	41	0	0	0	0	0	0	0	5	0	0	52	18	0	59	0	0	10	0	0	23293	107	1703	169	0	0	0	19313	8	10	0	0	0	0	0	0	24	6	1027	51	0	22978	86	778	0	21388	1432	0	0	0	0	0	0	0	7	0	0	1	0	99	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	20	0	3	0	0	0	0	0	0	0	0	0	1351	531	921	0	0	0	0	0	3499	84	523	30	0	0	18636	0	0	0	252	0	0	0	0	0	0	0	0
