X,Y,elevation_meters,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-119.594572,37.842693,2399,2022/06/02 19:20:56+00,,,OSKB,,Onion Skinning site. Roadside  M. laciniatus population. Highly lobed.,,,,,,,,purple-pin.png,,,,,,,,
-119.718684,37.723542,1372,2019/05/10 16:37:02+00,,,TNL2019,,M. Nasutus and M. Laciniatus and some other Mimulus sp.,,,,,,,,,,,,,,,,
-119.781397,37.958448,1202,2022/04/20 18:35:08+00,,,HHAB,,,,,,,,,,,,,,,,,,
-119.59569996,37.82639997,2203,2019/04/19 18:32:40+00,,,YCN,,"M. laciniatus reported; genotype: 6, 11, 12, 13, and 15.",,,,,,,,,,,,,,,,
-119.948746,37.865012,1237,2022/05/02 22:31:28+00,,,MDWB,,Mini Meadow. M. guttatus population in recovering meadow. The center of the population is a sweat bee nest.,,,,,,,,orange-pin.png,,,,,,,,
-119.634417,37.486651,1516,2022/04/30 04:28:36+00,,,SMDB,,,,,,,,,,,,,,,,,,
-120.094614,38.136194,1679,2022/05/21 21:50:11+00,,,SDSB,,Stoddard Spring. Stanislaus Nat'l Forest. Left hand side of the road towards Pincrest on road 108. Mimulus guttatus and Mimulus bicolor on granite outcrop and granite sand.,,,,,,,,purple-pin.png,,,,,,,,
-119.307426,37.145131,1595,2019/05/30 23:59:22+00,,,SHL2019,,"Easily accesible. Found M. nasutus, M. laciniatus amd M. bicolor on site. Some specimens appear to be hybrids between M. laciniatus and M. guttatus. This is what N. Gonzales calls SHL hybrids in the Ferris lab.",,,,,,,,red-pin-down.png,,,,,,,,
-119.486313176147,37.8072315532725,2506,2019/04/19 18:32:40+00,,,OPN,,no data,,,,,,,,purple-pin.png,,,,,,,,
-119.71177901,37.70181899,1533,2019/05/10 17:40:26+00,,,STD2019,,,,,,,,,,red-pin-down.png,,,,,,,,
-119.802952,37.755986,1901,2019/06/27 20:26:43+00,,,CRANE FLAT START,,,,,,,,,,purple-pin.png,,,,,,,,
-119.314015,37.090625,1730,2019/05/31 17:31:04+00,,,BML2019 HYBRID,,"Disturbed site by construction and minor logging. laciniatus and Guttatus hybrids, potentially some Nasutus. M. bicolor also present.",,,,,,,,purple-pin.png,,,,,,,,
-119.702719,37.698587,1757,2021/05/03 21:31:19+00,,,FVWB,,,,,,,,,,emoji-⚠️,,,,,,,,
-119.606933,37.513854,1937,2022/05/08 19:23:50+00,,,MGTB,,Mariposa Grove Trail. M. guttatus population off the side of trail in granite outcrop in diraction towards Mariposa tree.,,,,,,,,orange-pin.png,,,,,,,,
