Site,Sample_type,Species,Hybrid,Elevation_ft,Elevation_m,Longitude,Latitude,Sample,Dup_ID,Unique_ID,Sample_Date,Sampling_time,Process_Date,Process_time,Leaf_thickness,ACI,Leaf_toughness,LMA(mg),ImageJ_1,ImageJ_2,Leaf_lobe_index,Habitat,Notes,Notes2
TRTB,sample,M. laciniatus,,5158,1572,-119.710152,37.700419,1,,TRTB_L001,5/3/2021,10:44:00 AM,5/3/2021,8:49:00 PM,410,12.2,0.29,0.7,4905717,4908648,0.000597109,,,
TRTB,sample,M. laciniatus,,5158,1572,-119.710152,37.700419,1,,TRTB_L001,5/3/2021,10:44:00 AM,5/3/2021,9:49:00 PM,620,12.2,0.46,0.4,,,,,,
TRTB,sample,M. laciniatus,,5158,1572,-119.710152,37.700419,1,,TRTB_L001,5/3/2021,10:44:00 AM,5/3/2021,10:49:00 PM,705,12.2,0.33,0.6,,,,,,
FVWB,sample,M. guttatus,,5766,1757,-119.702719,37.698587,1,,FVWB_G001,5/3/2021,2:04:00 PM,5/3/2021,11:49:00 PM,320,6.1,0.32,0.5,293186,308689,0.050222068,,,
FVWB,sample,M. guttatus,,5766,1757,-119.702719,37.698587,1,,FVWB_G001,5/3/2021,2:04:00 PM,5/3/2021,12:49:00 AM,315,6.1,0.33,0.5,,,,,,
FVWB,sample,M. guttatus,,5766,1757,-119.702719,37.698587,1,,FVWB_G001,5/3/2021,2:04:00 PM,5/3/2021,1:49:00 AM,342,6.1,0.3,0.8,,,,,,
FVWB,sample,M. guttatus,,5766,1757,-119.702719,37.698587,2,,FVWB_G002,,,,,,,,,131604,145131,0.093205449,,,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,1,,BMLZ_G001,5/5/2021,11:33:00 AM,5/6/2021,9:37:00 PM,410,5,0.63,0.3,483020,586252,0.176088099,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,1,,BMLZ_G001,5/5/2021,11:33:00 AM,5/6/2021,9:37:00 PM,300,4,0.4,0.3,,,,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,1,,BMLZ_G001,5/5/2021,11:33:00 AM,5/6/2021,9:37:00 PM,355,4.8,0.62,0.4,,,,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,2,,BMLZ_G002,5/5/2021,11:35:00 AM,5/6/2021,9:40:00 PM,420,3.9,0.58,0.7,933840,1020695,0.08509398,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,2,,BMLZ_G002,5/5/2021,11:35:00 AM,5/6/2021,9:40:00 PM,330,4.4,0.27,1.1,,,,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,2,,BMLZ_G002,5/5/2021,11:35:00 AM,5/6/2021,9:40:00 PM,290,6.6,0.59,0.5,,,,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,3,,BMLZ_G003,5/5/2021,11:35:00 AM,5/6/2021,9:44:00 PM,340,5.1,0.72,0.7,356347,381527,0.06599795,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,3,,BMLZ_G003,5/5/2021,11:35:00 AM,5/6/2021,9:44:00 PM,380,5.3,0.46,0.7,,,,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,3,,BMLZ_G003,5/5/2021,11:35:00 AM,5/6/2021,9:44:00 PM,270,5.3,0.58,0.5,,,,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,4,,BMLZ_G004,5/5/2021,11:40:00 AM,5/6/2021,9:47:00 PM,355,4.6,0.32,0.7,1498054,1629691,0.080774208,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,4,,BMLZ_G004,5/5/2021,11:40:00 AM,5/6/2021,9:47:00 PM,340,4.4,0.48,0.5,,,,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,4,,BMLZ_G004,5/5/2021,11:40:00 AM,5/6/2021,9:47:00 PM,405,4.3,0.37,0.7,,,,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,5,,BMLZ_G005,5/5/2021,11:45:00 AM,5/6/2021,9:49:00 PM,460,4,0.62,0.8,456220,506858,0.099905694,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,5,,BMLZ_G005,5/5/2021,11:45:00 AM,5/6/2021,9:49:00 PM,340,4.2,0.74,1,,,,,ACI measure at proccessing time.,
BMLZ,sample,M. guttatus,,5643,1730,-119.314015,37.090625,5,,BMLZ_G005,5/5/2021,11:45:00 AM,5/6/2021,9:49:00 PM,520,4.5,0.63,0.9,,,,,ACI measure at proccessing time.,
SHLZ,sample,M. guttatus,,5233,1595,-119.307426,37.145131,1,,SHLZ_G001,5/5/2021,12:39:00 PM,5/6/2021,9:54:00 PM,264,4.2,0.63,1.1,582646,621722,0.062851242,,ACI measure at proccessing time.,
SHLZ,sample,M. guttatus,,5233,1595,-119.307426,37.145131,1,,SHLZ_G001,5/5/2021,12:39:00 PM,5/6/2021,9:54:00 PM,265,4.3,0.52,1.1,,,,,ACI measure at proccessing time.,
SHLZ,sample,M. guttatus,,5233,1595,-119.307426,37.145131,1,,SHLZ_G001,5/5/2021,12:39:00 PM,5/6/2021,9:54:00 PM,355,3.8,0.44,1.1,,,,,ACI measure at proccessing time.,
SHLZ,sample,M. guttatus,,5233,1595,-119.307426,37.145131,2,,SHLZ_G002,5/5/2021,12:40:00 PM,5/6/2021,9:57:00 PM,520,5.6,0.51,0.5,1298732,1407504,0.077280065,,ACI measure at proccessing time.,
