Site,Population,Species,Hybrid,Sample,Sequen_ID,Unique_ID,Extrac_event,Sample_Date,Subsampled,Subsampling_Qotes,Lyophilized,DNA_extr,Extr_date,DNA_conc._ng/µl,Extr_Box,Extraction_Method,Extr_notes,PCR1,PCR2,,sample_control
,C-,,,9302022,C-9302022,C9302022,1,9/30/2022,QA,,0,1,9/30/2022,too low,1,OLD,,1,1,0.000000583,control
,C-,,,8262022,C-8262022,C8262022,1,8/26/22,NA,,0,1,8/26/2022,too low,1,OLD,,0,0,0.361399998401857,control
,,,,,,S1,1,9/30/2022,NA,,0,1,9/30/2022,30.05,1,OLD,,0,0,,control
,,,,,,S1,1,8/26/22,NA,,0,1,8/26/2022,27.41,1,OLD,,0,0,,control
,,,,,,S2,1,9/30/2022,NA,,0,1,9/30/2022,13728.67 ng/mL,1,OLD,,0,0,,control
,,,,,,S2,1,8/26/22,NA,,0,1,8/26/2022,11735.15,1,OLD,,0,0,,control
,C-,,,10082022,C-10082022,C10082022,1,10/8/2022,NA,,0,1,10/8/2022,too low,,OLD,,0,0,,control
,,,,,,S1,1,10/8/2022,NA,,0,1,10/8/2022,32.62,,OLD,,0,0,,control
,,,,,,S2,1,10/8/2022,NA,,0,1,10/8/2022,14010.53,,OLD,,0,0,,control
,C-,,,11052022,C-11052022,C11052022,1,,,,0,1,11/5/2022,too low,2,OLD,,0,0,,control
,,,,,,S1,1,,,,0,1,11/5/2022,31.35,,OLD,,0,0,,control
,,,,,,S2,1,,,,0,1,11/5/2022,14004.19,,OLD,,0,0,,control
,C-,,,12192022,C-12192022,C12192022,1,,,,0,1,12/19/2022,too low,2,OLD,,0,0,,control
,,,,,,S1,1,,,,0,1,12/19/2022,44.61,,OLD,,0,0,,control
,,,,,,S2,1,,,,0,1,12/19/2022,8237.26,,OLD,,0,0,,control
,C-,B,,12192022,C-B12192022,CB12192022,1,,,,0,1,12/19/2022,too low,2,OLD,,0,0,,control
,C-,A,,12192022,C-A12192022,CA12192022,1,,,,0,1,12/19/2022,too low,2,OLD,,0,0,,control
,C-,A,,1122023,C-A1122023,CA1122023,1,,,,0,1,1/12/2023,too low,2,OLD,,0,0,,control
,C-,B,,1122023,C-B1122023,CB1122023,1,,,,0,1,1/12/2023,too low,,OLD,,0,0,,control
,S1,,,1162023,S11162023,#NAME?,1,,,,0,0,,,,,,#NAME?,#NAME?,,control
,S2,,,1162023,S21162023,#NAME?,1,,,,0,0,,,,,,#NAME?,#NAME?,,control
,C-,,,2042023,C-2042023,C2042023,,,,,0,1,,too low,3,,,1,1,,control
,S1,,,2062023,S12062023,S12062023,,,,,0,0,,47.34,,,,0,0,,control
,S2,,,2062023,S22062023,S22062023,,,,,0,0,,15899.71,,,,0,0,,control
,C-,,,1192023,C-1192023,C1192023,,1/19/2023,,,0,1,,too low,2,,,1,1,,control
,S1,,,1192023,S11192023,S11192023,,1/19/2023,,,0,0,,37.39,,,,0,0,,control
,S2,,,1192023,S21192023,S21192023,,1/19/2023,,,0,0,,13796.65,,,,0,0,,control
,C-,,,3142023,C-3142023,C3142023,1,3/14/2023,,,0,1,,too low,,,,0,0,,control
,S1,,,3142023,S13142023,S13142023,,3/14/2023,,,0,0,,33.61,,,,0,0,,control
,S2,,,3142023,S23142023,S23142023,,3/14/2023,,,0,0,,13568.42,,,,0,0,,control
,C-,,,5072023,C-5072023,C5072023,,5/7/2023,,,0,1,,too low,,,,0,0,,control
,S1,,,5072023,S15072023,S15072023,,5/7/2023,,,0,0,,89.5,,,,0,0,,control
,S2,,,5072023,S25072023,S25072023,,5/7/2023,,,0,0,,12558.15,,,,0,0,,control
,C-,,,5102023,C-5102023,C5102023,,5/10/2023,,,1,1,,too low,,,,0,0,,control
,S1,,,5102023,S15102023,S15102023,,5/10/2023,,,0,0,,29.58,,,,0,0,,control
,S2,,,5102023,S25102023,S25102023,,5/10/2023,,,0,0,,12785.14,,,,0,0,,control
,C-,,,5122023,C-5122023,C5122023,,5/12/2023,,,,1,,too low,,,,0,0,,control
,S1,,,5122023,S15122023,S15122023,,5/12/2023,,,,0,,49.25,,,,0,0,,control
,S2,,,5122023,S25122023,S25122023,,5/12/2023,,,,0,,13986.07,,,,0,0,,control
,C-,,,5152023,C-5152023,C5152023,,5/15/2023,,,,1,,too low,4,,,0,0,,control
,S1,,,5152023,S15152023,S15152023,,5/16/2023,,,,0,,30.78,,,,0,0,,control
,S2,,,5152023,S25152023,S25152023,,5/16/2023,,,,0,,13353.41,,,,0,0,,control
,C-,,,5252023,C-5252023,C-5252023,,5/25/2023,,,,1,,too low,4,,,0,0,,control
,S1,,,5252023,S15252023,S15252023,,5/25/2023,,,,0,,36.17,,,,0,0,,control
,S2,,,5252023,S25252023,S25252023,,5/25/2023,,,,0,,13544.61,,,,0,0,,control
,C-,,,5312023,C-5312023,C5312023,,5/31/2023,,,,1,,too low,,,,0,0,,control
,S1,,,5312023,S15312023,S15312023,,5/31/2023,,,,0,,37.85,,,,0,0,,control
,S2,,,5312023,S25312023,S25312023,,5/31/2023,,,,0,,13422.87,,,,0,0,,control
,C-,,,5302023,C-5302023,C5302023,,5/30/2023,,,,1,,too low,,,,0,0,,control
,S1,,,5302023,S15302023,S15302023,,5/30/2023,,,,0,,39.64,,,,0,0,,control
,S2,,,5302023,S25302023,S25302023,,5/30/2023,,,,0,,13761.52,,,,0,0,,control
AGFB,AGFB,L,,1,AGFB_L001,AGFB_L001,1,4/22/2022,yes,,1,1,1/12/2023,1.86,2,OLD,,1,1,,sample
AGFB,AGFB,L,,1,AGFB_L001,AGFB_L001,1,4/22/2022,yes,,1,1,1/12/2023,1.86,2,OLD,,1,1,,sample
AGFB,AGFB,L,,1,AGFB_L001,AGFB_L001,1,4/22/2022,yes,,1,1,1/12/2023,1.86,2,OLD,,1,1,,sample
AGFB,AGFB,L,,10,AGFB_L010,AGFB_L010,1,4/22/2022,yes,,1,1,9/30/2022,,1,OLD,"Ruined! I added 197 μL of Qubit buffer to DNA. I kept samples in case there is something that can be done. (-BAR, 10/04/2022)",1,1,,sample
AGFB,AGFB,L,,10,AGFB_L010,AGFB_L010,1,4/22/2022,yes,,1,1,9/30/2022,,1,OLD,"Ruined! I added 197 μL of Qubit buffer to DNA. I kept samples in case there is something that can be done. (-BAR, 10/04/2022)",1,1,,sample
AGFB,AGFB,L,,10,AGFB_L010,AGFB_L010,1,4/22/2022,yes,,1,1,9/30/2022,,1,OLD,"Ruined! I added 197 μL of Qubit buffer to DNA. I kept samples in case there is something that can be done. (-BAR, 10/04/2022)",1,1,,sample
AGFB,AGFB,L,,11,AGFB_L011,AGFB_L011,1,4/22/2022,yes,,1,1,1/12/2023,0.498,2,OLD,,1,1,,sample
AGFB,AGFB,L,,11,AGFB_L011,AGFB_L011,1,4/22/2022,yes,,1,1,1/12/2023,0.498,2,OLD,,1,1,,sample
AGFB,AGFB,L,,11,AGFB_L011,AGFB_L011,1,4/22/2022,yes,,1,1,1/12/2023,0.498,2,OLD,,1,1,,sample
AGFB,AGFB,L,,2,AGFB_L002,AGFB_L002,1,4/22/2022,yes,,1,1,1/12/2023,3.05,2,OLD,,1,1,,sample
AGFB,AGFB,L,,2,AGFB_L002,AGFB_L002,1,4/22/2022,yes,,1,1,1/12/2023,3.05,2,OLD,,1,1,,sample
AGFB,AGFB,L,,2,AGFB_L002,AGFB_L002,1,4/22/2022,yes,,1,1,1/12/2023,3.05,2,OLD,,1,1,,sample
AGFB,AGFB,L,,3,AGFB_L003,AGFB_L003,1,4/22/2022,yes,not enough tissue (.22g),1,1,5/12/2023,12.2,3,NEW,,0,0,,sample
AGFB,AGFB,L,,3,AGFB_L003,AGFB_L003,1,4/22/2022,yes,not enough tissue (.22g),1,1,5/12/2023,12.2,3,NEW,,0,0,,sample
AGFB,AGFB,L,,3,AGFB_L003,AGFB_L003,1,4/22/2022,yes,not enough tissue (.22g),1,1,5/12/2023,12.2,3,NEW,,0,0,,sample
AGFB,AGFB,L,,4,AGFB_L004,AGFB_L004,1,4/22/2022,yes,not enough tissue (.12g),1,1,1/19/2023,3.45,2,OLD,,1,1,,sample
AGFB,AGFB,L,,4,AGFB_L004,AGFB_L004,1,4/22/2022,yes,not enough tissue (.12g),1,1,1/19/2023,3.45,2,OLD,,1,1,,sample
AGFB,AGFB,L,,4,AGFB_L004,AGFB_L004,1,4/22/2022,yes,not enough tissue (.12g),1,1,1/19/2023,3.45,2,OLD,,1,1,,sample
AGFB,AGFB,L,,5,AGFB_L005,AGFB_L005,1,4/22/2022,yes,,1,1,10/8/2022,7.33,1,OLD,,1,1,,sample
AGFB,AGFB,L,,5,AGFB_L005,AGFB_L005,1,4/22/2022,yes,,1,1,10/8/2022,7.33,1,OLD,,1,1,,sample
AGFB,AGFB,L,,5,AGFB_L005,AGFB_L005,1,4/22/2022,yes,,1,1,10/8/2022,7.33,1,OLD,,1,1,,sample
AGFB,AGFB,L,,6,AGFB_L006,AGFB_L006,1,4/22/2022,yes,not enough tissue (.10g),1,1,1/19/2023,1.86,2,OLD,,1,1,,sample
AGFB,AGFB,L,,6,AGFB_L006,AGFB_L006,1,4/22/2022,yes,not enough tissue (.10g),1,1,1/19/2023,1.86,2,OLD,,1,1,,sample
AGFB,AGFB,L,,6,AGFB_L006,AGFB_L006,1,4/22/2022,yes,not enough tissue (.10g),1,1,1/19/2023,1.86,2,OLD,,1,1,,sample
AGFB,AGFB,L,,7,AGFB_L007,AGFB_L007,1,4/22/2022,yes,,1,1,12/19/2022,5.71,2,OLD,,1,1,,sample
AGFB,AGFB,L,,7,AGFB_L007,AGFB_L007,1,4/22/2022,yes,,1,1,12/19/2022,5.71,2,OLD,,1,1,,sample
AGFB,AGFB,L,,7,AGFB_L007,AGFB_L007,1,4/22/2022,yes,,1,1,12/19/2022,5.71,2,OLD,,1,1,,sample
AGFB,AGFB,L,,8,AGFB_L008,AGFB_L008,1,4/22/2022,yes,"not enough tissue (.15g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,8.42,4,NEW,,0,0,,sample
AGFB,AGFB,L,,8,AGFB_L008,AGFB_L008,1,4/22/2022,yes,"not enough tissue (.15g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,8.42,4,NEW,,0,0,,sample
AGFB,AGFB,L,,8,AGFB_L008,AGFB_L008,1,4/22/2022,yes,"not enough tissue (.15g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,8.42,4,NEW,,0,0,,sample
AGFB,AGFB,L,,9,AGFB_L009,AGFB_L009,1,4/22/2022,yes,"not enough tissue (.13g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,5.67,4,NEW,,0,0,,sample
AGFB,AGFB,L,,9,AGFB_L009,AGFB_L009,1,4/22/2022,yes,"not enough tissue (.13g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,5.67,4,NEW,,0,0,,sample
AGFB,AGFB,L,,9,AGFB_L009,AGFB_L009,1,4/22/2022,yes,"not enough tissue (.13g); 1st time lyophilized w/o loosening caps, 2 days @ room temp., then lyophilized a second time",1,1,5/25/2023,5.67,4,NEW,,0,0,,sample
